state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,-1,18218,26363,17211,20289,0.40864942464278503,0.45896,-1,-1,0.0
1,2,-1,24679,36832,22283,29658,0.4012127912080766,0.42900598756281166,-1,-1,0.0
1,3,-1,9718,15541,8364,12547,0.38473415416287265,0.3999808713117498,-1,-1,0.0
1,4,-1,20760,31822,19888,24333,0.3948119128218782,0.449741073245743,-1,-1,0.0
1,98,-1,75212,108918,70590,83666,0.40847227502308153,0.4576159112125298,-1,-1,0.0
2,1,-1,13320,18301,11097,16232,0.42123904999841877,0.40605217900398843,-1,-1,0.0
2,2,-1,13785,19176,11739,17297,0.41822153454082095,0.40429122468659595,-1,-1,0.0
2,3,-1,11678,18541,8032,15613,0.38644561368675334,0.33969126665256927,-1,-1,0.0
2,4,-1,11600,20501,7763,16349,0.3613594592068783,0.3219558725945587,-1,-1,0.0
3,1,-1,11117,17217,9949,14093,0.39235547398884735,0.41381748606605107,-1,-1,0.0
3,2,-1,7992,17611,6998,14067,0.31215091981408427,0.332209826726798,-1,-1,0.0
3,3,0,10617,17796,14382,13602,0.37366698342308097,0.5139365351629502,1,-1,1.0
3,4,-1,10478,18982,10564,15660,0.3556687033265445,0.40283709579011595,-1,-1,0.0
3,5,-1,12657,16287,12765,13648,0.4372927031509121,0.48328474614773026,-1,-1,0.0
3,6,-1,8880,18157,12246,16164,0.32843880608055626,0.4310454065469905,-1,-1,0.0
3,7,-1,10165,20821,9034,15728,0.32805137804169626,0.3648332121799532,-1,-1,0.0
3,9,1,17003,6895,10352,5108,0.7114821323960164,0.6695989650711514,1,1,0.0
3,10,1,19211,12740,17569,11374,0.601264436167882,0.6070206958504647,1,1,0.0
3,11,1,18045,15990,16333,14467,0.5301895107977083,0.5302922077922078,1,1,0.0
3,12,0,10813,19312,10303,14807,0.35893775933609956,0.4103146156909598,-1,-1,1.0
3,13,-1,8064,13631,5241,13565,0.37169854805254665,0.27868765287674147,-1,-1,0.0
3,14,-1,7100,18415,5447,14410,0.2782676856750931,0.27431132598076247,-1,-1,0.0
4,1,-1,16866,25364,15218,22491,0.3993843239403268,0.40356413588268053,-1,-1,0.0
4,2,-1,16462,26748,14986,22138,0.3809766257810692,0.4036741730416981,-1,-1,0.0
5,1,0,15583,15450,15198,14535,0.5021428801598299,0.5111492281303602,1,1,1.0
5,2,-1,13278,18212,12657,13680,0.421657669101302,0.4805786536051942,-1,-1,0.0
