state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,-1,15595,26829,15039,21605,0.3675985291344522,0.410408252374195,-1,-1,0.0
1,2,-1,26832,36083,23757,29058,0.42648017166017643,0.44981539335416076,-1,-1,0.0
1,3,-1,9190,14935,8833,12391,0.3809326424870466,0.41617979645684133,-1,-1,0.0
1,4,-1,19423,32843,18969,26484,0.37161826043699536,0.417332189294436,-1,-1,0.0
1,98,0,70029,111557,67747,88115,0.38565197757536374,0.43466014807971154,-1,-1,1.0
2,1,-1,15615,18887,15254,16903,0.45258245898788474,0.47436017041390677,-1,-1,0.0
2,2,0,17115,18479,17346,18708,0.48083946732595384,0.4811116658345815,-1,-1,1.0
2,3,-1,15611,18282,14891,16682,0.4605965833652967,0.4716371583314858,-1,-1,0.0
2,4,0,16152,19659,13705,17279,0.45103459830778253,0.44232507100438934,-1,-1,1.0
3,1,-1,10765,17990,9528,15622,0.3743696748391584,0.3788469184890656,-1,-1,0.0
3,2,-1,7839,17515,8412,15873,0.3091819831190345,0.3463866584311303,-1,-1,0.0
3,3,-1,9654,18265,10415,15686,0.34578602385472257,0.3990268572085361,-1,-1,0.0
3,6,-1,7334,22093,14055,18390,0.24922690046555884,0.4331946370781322,-1,-1,0.0
3,7,-1,7958,22179,9816,21752,0.2640607890632777,0.3109477952356817,-1,-1,0.0
3,8,-1,9638,19147,11690,17952,0.33482716692721903,0.39437284933540245,-1,-1,0.0
3,9,1,14060,6002,15997,6256,0.7008274349516499,0.7188693659281895,1,1,0.0
3,10,1,16553,16549,18979,14621,0.5000604193100114,0.5648511904761905,1,1,0.0
3,11,1,15881,15447,18099,14670,0.5069267109295199,0.5523207909914859,1,1,0.0
3,12,-1,9069,21097,10591,18948,0.30063647815421335,0.3585429432275974,-1,-1,0.0
3,13,-1,4977,16870,6603,14236,0.22781159884652355,0.31685781467440854,-1,-1,0.0
3,14,-1,6709,20959,6815,18002,0.24248229001012,0.2746101462707015,-1,-1,0.0
4,1,-1,17400,24413,15601,22701,0.4161385215124483,0.4073155448801629,-1,-1,0.0
4,2,-1,16666,26007,15669,23073,0.39055140252618753,0.4044447886015177,-1,-1,0.0
5,1,1,18141,18222,16846,16030,0.4988862305090339,0.5124102688891593,1,-1,0.0
5,2,-1,12634,21374,14593,16979,0.37150082333568574,0.46221335360445964,-1,-1,0.0
6,1,-1,8028,22190,8957,20660,0.2656694685286915,0.3024276597899855,-1,-1,0.0
6,2,0,6914,22868,8157,20738,0.23215364985561748,0.2822979754282748,-1,-1,1.0
11,98,0,22515,24314,17118,20210,0.4807918170364518,0.4585833690527218,-1,-1,1.0
12,1,-1,17640,27443,9308,20674,0.39127830889692344,0.3104529384297245,-1,-1,0.0
12,2,-1,20506,23906,8921,19637,0.46172205710168424,0.3123818194551439,-1,-1,0.0
12,3,-1,19766,26302,16638,20472,0.4290613875141096,0.4483427647534357,-1,-1,0.0
12,4,-1,17210,23919,13989,17497,0.41843954387415205,0.44429270151813505,-1,-1,0.0
12,5,-1,20485,27948,19208,19760,0.42295542295542293,0.49291726544857317,-1,-1,0.0
12,6,1,29516,27989,25438,23335,0.5132771063385793,0.521559059315605,1,1,0.0
12,7,-1,18104,24863,15983,16493,0.42134661484395003,0.49214804778913657,-1,-1,0.0
12,8,1,16276,24536,18334,12460,0.3988042732529648,0.5953757225433526,1,-1,0.0
12,9,0,23485,18608,18367,12628,0.5579312474758273,0.5925794482981126,1,1,1.0
12,10,1,23820,16105,22882,9305,0.5966186599874765,0.7109081306117376,1,1,0.0
13,1,-1,19519,29459,14418,22569,0.39852586875740126,0.38981263687241463,-1,-1,0.0
13,2,1,15455,9999,11420,7591,0.6071737251512532,0.6007048550838988,1,1,0.0
13,3,0,15395,18614,10707,16546,0.4526742920991502,0.392874178989469,-1,-1,1.0
13,4,-1,18910,23944,12114,17079,0.4412656928174733,0.4149624910081184,-1,-1,0.0
13,5,0,19897,28075,11995,19832,0.41476277828733427,0.37688126433531277,-1,-1,1.0
13,7,1,17773,10296,15055,8433,0.6331896398161673,0.6409655994550408,1,1,0.0
13,8,1,22329,11484,21340,10632,0.660367314346553,0.6674590266483172,1,1,0.0
13,9,1,6194,2312,7276,2734,0.7281918645661886,0.7268731268731269,1,1,0.0
13,10,1,10602,6511,15962,4843,0.619529013031029,0.7672194184090363,1,1,0.0
13,11,1,20637,11700,26511,10640,0.6381853604230449,0.7136012489569594,1,1,0.0
13,12,0,16757,8090,20481,7410,0.674407373123516,0.73432289986017,1,1,1.0
13,13,-1,12380,15108,9881,16381,0.45037834691501744,0.3762470489680908,-1,-1,0.0
13,14,1,21643,14189,17675,10006,0.6040131725831659,0.6385246197752972,1,1,0.0
13,15,-1,12531,16921,13123,16210,0.4254719543664267,0.4473800838645894,-1,-1,0.0
13,16,1,12555,8822,16954,7062,0.587313467745708,0.705946035976016,1,1,0.0
13,17,-1,24736,32764,23284,27159,0.4301913043478261,0.46159030985468746,-1,-1,0.0
13,18,1,35569,25590,28339,17943,0.5815824326754853,0.6123114817855754,1,1,0.0
13,19,-1,19851,27966,19218,23356,0.41514524123219776,0.4514022642927608,-1,-1,0.0
13,20,-1,17979,23927,16111,21191,0.42903164224693363,0.43190713634657657,-1,-1,0.0
13,21,0,19725,22832,19745,20717,0.463496017106469,0.48798873016657607,-1,-1,1.0
13,22,-1,19074,22980,17188,22344,0.4535597089456413,0.4347870079935242,-1,-1,0.0
13,23,-1,30008,30593,27344,29099,0.49517334697447235,0.484453342309941,-1,-1,0.0
13,24,-1,23059,28496,23215,24474,0.4472699059257104,0.4867998909601795,-1,-1,0.0
13,25,-1,19927,27152,18385,25041,0.4232672741562055,0.42336388338783215,-1,-1,0.0
13,26,-1,14914,30615,10931,26209,0.32757143798458127,0.29431879375336567,-1,-1,0.0
13,27,0,21365,26962,19757,24027,0.44209241210917294,0.4512378951215056,-1,-1,1.0
13,28,-1,15756,25948,12573,23451,0.3778054862842893,0.34901732178547634,-1,-1,0.0
13,29,-1,20527,33664,17385,30350,0.3787898359506191,0.36419817743793864,-1,-1,0.0
13,30,-1,19818,30622,16269,27069,0.3929024583663759,0.3753980340578707,-1,-1,0.0
13,31,-1,17891,28990,14150,25475,0.38162581856189076,0.35709779179810724,-1,-1,0.0
13,32,-1,22858,33025,21393,25343,0.40903315856342715,0.4577413557001027,-1,-1,0.0
13,33,-1,20319,24580,15883,21235,0.45254905454464467,0.4279055983619807,-1,-1,0.0
13,35,0,25866,20093,22140,16494,0.5628059792423682,0.5730703525392141,1,1,1.0
13,36,-1,20790,30621,16209,24457,0.40438816595670185,0.39858850145084346,-1,-1,0.0
13,37,-1,15718,32327,11562,25468,0.3271516286814445,0.312233324331623,-1,-1,0.0
14,1,-1,7773,27507,4738,24280,0.22032312925170067,0.1632779654007857,-1,-1,0.0
14,2,0,6381,24579,4262,28140,0.2061046511627907,0.13153509042651687,-1,-1,1.0
14,3,-1,6608,23877,11240,20337,0.21676234213547646,0.3559552839091744,-1,-1,0.0
14,4,-1,7613,17518,3993,26289,0.30293263300306394,0.13186051119476916,-1,-1,0.0
14,5,-1,8488,21756,3987,29390,0.28065070757836263,0.11945351589417863,-1,-1,0.0
14,6,-1,10205,31129,6425,38269,0.24689117917452943,0.14375531391238197,-1,-1,0.0
14,7,-1,10364,26684,8249,19676,0.27974519542215504,0.29539838854073414,-1,-1,0.0
14,8,-1,17684,26384,18231,22416,0.4012889171280748,0.4485201859915861,-1,-1,0.0
14,10,1,16855,16138,18037,11796,0.5108659412602673,0.6045989340663024,1,1,0.0
14,12,0,15339,17446,10247,15652,0.4678664023181333,0.3956523417892583,-1,-1,1.0
14,13,1,27655,21416,21885,16488,0.5635711520042388,0.5703228832773044,1,1,0.0
14,14,1,12980,15024,12091,11288,0.4635052135409227,0.5171735318020446,1,-1,0.0
14,15,1,18592,16577,14582,14201,0.5286473883249453,0.5066184900809506,1,1,0.0
14,16,1,18412,12866,14707,12131,0.5886565637189078,0.5479916536254564,1,1,0.0
14,17,-1,14044,23761,14036,17130,0.37148525327337656,0.4503625746005262,-1,-1,0.0
14,18,-1,13876,27717,14457,22447,0.3336138292501142,0.39174615217862563,-1,-1,0.0
14,19,-1,15906,26157,13649,17521,0.3781470651166108,0.43788899582932306,-1,-1,0.0
14,20,-1,16928,19176,15204,15653,0.4688677154885885,0.4927245033541822,-1,-1,0.0
14,21,-1,12848,15631,10572,15210,0.4511394360757049,0.41005352571561554,-1,-1,0.0
14,22,-1,16234,19339,10490,15924,0.45635734967531555,0.39713788142651624,-1,-1,0.0
14,23,-1,12125,16769,10309,15008,0.41963729494012597,0.4071967452699767,-1,-1,0.0
14,24,0,10985,20538,14163,15490,0.34847571614376804,0.47762452365696556,-1,-1,1.0
14,25,-1,11995,16457,8109,13564,0.42158723464079856,0.37415217090388964,-1,-1,0.0
14,26,0,18865,15123,15371,12427,0.5550488407673296,0.5529534498884812,1,1,1.0
14,27,0,10088,19010,9101,14646,0.3466904941920407,0.3832484103255148,-1,-1,1.0
14,28,-1,11256,18728,10433,16550,0.37540021344717184,0.3866508542415595,-1,-1,0.0
14,30,-1,7512,15574,6452,13984,0.32539201247509314,0.31571736151888824,-1,-1,0.0
14,31,-1,5320,13380,5740,13364,0.28449197860962566,0.30046063651591287,-1,-1,0.0
14,32,-1,8769,17015,4811,14525,0.3400946323301272,0.24881050889532477,-1,-1,0.0
21,1,-1,13692,23370,10015,17015,0.3694350008094544,0.37051424343322237,-1,-1,0.0
21,2,-1,14351,32024,8565,20660,0.309455525606469,0.293071000855432,-1,-1,0.0
21,3,-1,15995,24979,6569,14130,0.3903695026114121,0.31735832648920237,-1,-1,0.0
21,4,1,16606,12196,9997,8377,0.5765571835289216,0.5440840317840426,1,1,0.0
21,5,1,12997,9876,9545,8634,0.5682245442224457,0.5250563837394796,1,1,0.0
21,6,-1,17093,32540,10734,18153,0.34438780649970785,0.37158583445840687,-1,-1,0.0
21,7,0,20088,31513,11383,18595,0.38929478110889326,0.3797117886450063,-1,-1,1.0
21,8,0,15963,14660,11336,11421,0.5212748587662868,0.49813244276486357,-1,1,1.0
21,9,-1,13544,21110,8504,15316,0.39083511282968775,0.3570109151973132,-1,-1,0.0
21,10,-1,14840,31130,7598,18886,0.32281922993256473,0.2868901978553089,-1,-1,0.0
21,11,-1,15875,29821,9104,18569,0.3474045868347339,0.3289849311603368,-1,-1,0.0
21,13,-1,13273,24797,14747,16590,0.3486472287890728,0.47059386667517633,-1,-1,0.0
21,14,-1,16745,23394,12978,18583,0.4171753157776726,0.41120370076993756,-1,-1,0.0
21,15,-1,22410,26770,14191,19975,0.45567303782025215,0.4153544459404086,-1,-1,0.0
21,16,-1,18557,23880,13876,16983,0.43728350260385984,0.44965812242781683,-1,-1,0.0
21,17,-1,16737,22014,11377,16804,0.4319114345436247,0.40371172066285793,-1,-1,0.0
21,18,-1,21795,29170,12777,22804,0.4276464240164819,0.35909614681993196,-1,-1,0.0
21,19,-1,24913,30588,19247,23662,0.44887479504873784,0.448553916427789,-1,-1,0.0
21,20,1,24023,17726,19578,14645,0.575414979999521,0.572071413961371,1,1,0.0
21,21,0,23433,21716,22429,17396,0.5190148176039336,0.5631889516635279,1,1,1.0
21,22,-1,24341,27858,15371,23138,0.4663116151650415,0.39915344464930275,-1,-1,0.0
21,23,1,28181,23772,21680,20361,0.5424325832964411,0.5156870673865988,1,1,0.0
21,24,-1,18333,21833,16241,17990,0.4564308121296619,0.474452981215857,-1,-1,0.0
21,25,-1,20537,24319,14240,17835,0.4578428749777064,0.44395946999220576,-1,-1,0.0
22,1,-1,23054,22965,18959,20278,0.5009669918946522,0.48319188521038814,-1,1,0.0
22,2,-1,27172,24609,21889,22299,0.5247484598597941,0.4953607314202951,-1,1,0.0
22,3,1,24139,18966,18606,18151,0.560004639832966,0.5061892972767092,1,1,0.0
22,4,1,25231,20726,20049,18181,0.5490132079987815,0.524431075071933,1,1,0.0
22,5,0,28844,27361,21579,22532,0.5131927764433769,0.489197705787672,-1,1,1.0
22,6,0,25905,27053,20629,22135,0.4891612221005325,0.48239173136282854,-1,-1,1.0
22,7,-1,34686,34003,23234,28020,0.5049716839668651,0.45331096109571933,-1,1,0.0
22,8,1,29259,23890,24027,19783,0.5505089465465014,0.5484364300388039,1,1,0.0
22,9,-1,27540,26449,21633,23865,0.5101039100557521,0.4754714492944745,-1,1,0.0
