state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,-1,16836,25048,13520,18818,0.40196733836309806,0.41808398787803824,-1,-1,0.0
1,2,-1,28349,33205,23556,27004,0.4605549598726322,0.4659018987341772,-1,-1,0.0
1,3,-1,9284,14727,8507,12218,0.38665611594685767,0.41047044632086854,-1,-1,0.0
1,4,-1,20520,29579,17754,23707,0.4095890137527695,0.4282096427968452,-1,-1,0.0
2,1,0,10040,17803,9072,14598,0.36059332686851275,0.3832699619771863,-1,-1,1.0
2,2,-1,11439,19215,8126,15149,0.3731650029359953,0.34912996777658434,-1,-1,0.0
2,3,-1,10241,17057,6634,12854,0.3751556890614697,0.3404146141215107,-1,-1,0.0
2,4,-1,8765,18826,5534,12380,0.3176760537856547,0.30892039745450484,-1,-1,0.0
3,1,-1,10924,16520,8760,14315,0.3980469319341204,0.37963163596966415,-1,-1,0.0
3,2,-1,10766,17604,8054,13327,0.37948537187169545,0.37668958421028015,-1,-1,0.0
3,3,1,16039,15909,11167,11008,0.5020345561537498,0.5035851183765502,1,1,0.0
3,4,0,10493,19718,8485,14411,0.3473238224487769,0.370588749126485,-1,-1,1.0
3,5,-1,15466,15887,13716,14737,0.4932861289190827,0.48205813095279937,-1,-1,0.0
3,6,-1,6534,18328,6035,13494,0.26281071514761484,0.3090275999795176,-1,-1,0.0
3,7,-1,10815,19595,12338,16559,0.35563959223939495,0.42696473682389174,-1,-1,0.0
3,8,-1,7970,19901,5846,14935,0.2859603171755588,0.28131466243202924,-1,-1,0.0
3,9,0,14701,6633,10303,5450,0.6890878410049686,0.6540341522249731,1,1,1.0
3,10,1,23507,16318,17149,13909,0.5902573760200879,0.5521604739519609,1,1,0.0
3,11,0,10885,21761,10709,17001,0.33342522820559944,0.38646697942980873,-1,-1,1.0
3,12,-1,7434,17788,6210,13653,0.2947426849575767,0.31264159492523785,-1,-1,0.0
3,13,-1,5954,16337,4868,13463,0.2671033152393343,0.2655610714090884,-1,-1,0.0
4,1,-1,17401,26072,18518,21373,0.4002714328433741,0.4642149858364042,-1,-1,0.0
4,2,0,17517,27440,17266,22395,0.3896389883666615,0.4353395022818386,-1,-1,1.0
5,1,-1,9498,16591,6392,12081,0.3640614818505884,0.3460185135061982,-1,-1,0.0
5,2,-1,8870,13975,6435,9095,0.38826876778288466,0.41435930457179654,-1,-1,0.0
6,1,0,9441,22845,8026,20350,0.29241776621445825,0.28284465745700593,-1,-1,1.0
6,2,0,7291,23273,5967,17728,0.23854861929066876,0.25182527959485124,-1,-1,1.0
