state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,-1,18132,19367,15595,26829,0.48353289421051227,0.3675985291344522,-1,-1,0.0
1,2,0,27492,24480,26832,36083,0.5289771415377511,0.42648017166017643,-1,1,1.0
1,3,-1,9933,10011,9190,14935,0.4980445246690734,0.3809326424870466,-1,-1,0.0
1,4,-1,20636,23479,19423,32843,0.467777399977332,0.37161826043699536,-1,-1,0.0
1,98,-1,73221,79585,70029,111557,0.479176210358232,0.38565197757536374,-1,-1,0.0
2,1,0,16901,17521,15615,18887,0.4909941316599849,0.45258245898788474,-1,-1,1.0
2,2,-1,18938,16227,17115,18479,0.538546850561638,0.48083946732595384,-1,1,0.0
2,3,-1,17187,15798,15611,18282,0.5210550250113688,0.4605965833652967,-1,1,0.0
2,4,-1,17516,18017,16152,19659,0.4929502152928264,0.45103459830778253,-1,-1,0.0
3,1,-1,13244,14109,10765,17990,0.48418820604686874,0.3743696748391584,-1,-1,0.0
3,2,-1,13774,14242,7839,17515,0.4916476299257567,0.3091819831190345,-1,-1,0.0
3,3,-1,15243,14544,9654,18265,0.5117333064759795,0.34578602385472257,-1,1,0.0
3,6,-1,12038,17272,7334,22093,0.41071306721255546,0.24922690046555884,-1,-1,0.0
3,7,-1,14337,16624,7958,22179,0.4630664384225316,0.2640607890632777,-1,-1,0.0
3,8,-1,13842,15854,9638,19147,0.46612338362068967,0.33482716692721903,-1,-1,0.0
3,9,0,11652,2081,14060,6002,0.8484671958057235,0.7008274349516499,1,1,1.0
3,10,0,20345,15783,16553,16549,0.5631366253321524,0.5000604193100114,1,1,1.0
3,11,1,18933,13033,15881,15447,0.592285553400488,0.5069267109295199,1,1,0.0
3,12,-1,14696,19037,9069,21097,0.43565647881896064,0.30063647815421335,-1,-1,0.0
3,13,-1,9831,14079,4977,16870,0.4111668757841907,0.22781159884652355,-1,-1,0.0
3,14,0,15686,15753,6709,20959,0.49893444447978624,0.24248229001012,-1,-1,1.0
4,1,-1,20093,20941,17400,24413,0.4896671053272896,0.4161385215124483,-1,-1,0.0
4,2,-1,16913,21639,16666,26007,0.4387061631043785,0.39055140252618753,-1,-1,0.0
5,1,-1,17532,15681,18141,18222,0.527865594797218,0.4988862305090339,-1,1,0.0
5,2,0,13704,18983,12634,21374,0.41924924281824577,0.37150082333568574,-1,-1,1.0
6,1,-1,8215,18951,8028,22190,0.3024000588971508,0.2656694685286915,-1,-1,0.0
6,2,-1,6226,18185,6914,22868,0.25504895334070704,0.23215364985561748,-1,-1,0.0
11,98,-1,20281,22410,22515,24314,0.475065001991052,0.4807918170364518,-1,-1,0.0
12,1,-1,20554,21394,17640,27443,0.4899876036998188,0.39127830889692344,-1,-1,0.0
12,2,-1,16915,22861,20506,23906,0.4252564360418343,0.46172205710168424,-1,-1,0.0
12,3,-1,24657,20160,19766,26302,0.5501706941562353,0.4290613875141096,-1,1,0.0
12,4,-1,19089,19354,17210,23919,0.4965533387092579,0.41843954387415205,-1,-1,0.0
12,5,0,23768,20675,20485,27948,0.5347973809148797,0.42295542295542293,-1,1,1.0
12,6,1,29458,25301,29516,27989,0.5379572307748498,0.5132771063385793,1,1,0.0
12,7,-1,21962,17756,18104,24863,0.5529482854121557,0.42134661484395003,-1,1,0.0
12,8,-1,19364,16847,16276,24536,0.5347546325702135,0.3988042732529648,-1,1,0.0
12,9,1,23784,13390,23485,18608,0.6398020121590359,0.5579312474758273,1,1,0.0
12,10,1,26266,10104,23820,16105,0.7221886169920264,0.5966186599874765,1,1,0.0
13,1,-1,26974,21826,19519,29459,0.5527459016393442,0.39852586875740126,-1,1,0.0
13,2,1,14248,8304,15455,9999,0.6317843206810926,0.6071737251512532,1,1,0.0
13,3,0,15432,14570,15395,18614,0.5143657089527365,0.4526742920991502,-1,1,1.0
13,4,-1,20676,20295,18910,23944,0.5046496302262576,0.4412656928174733,-1,1,0.0
13,5,0,26220,22576,19897,28075,0.5373391261578818,0.41476277828733427,-1,1,1.0
13,7,1,16847,7748,17773,10296,0.6849766212644847,0.6331896398161673,1,1,0.0
13,8,1,20683,8311,22329,11484,0.7133544871352694,0.660367314346553,1,1,0.0
13,9,1,4606,1850,6194,2312,0.7134448574969021,0.7281918645661886,1,1,0.0
13,10,1,9850,4807,10602,6511,0.6720338404857747,0.619529013031029,1,1,0.0
13,11,1,17384,10171,20637,11700,0.6308836871711123,0.6381853604230449,1,1,0.0
13,12,1,14376,7467,16757,8090,0.6581513528361489,0.674407373123516,1,1,0.0
13,13,-1,11539,9951,12380,15108,0.5369474174034434,0.45037834691501744,-1,1,0.0
13,14,0,20875,14018,21643,14189,0.5982575301636431,0.6040131725831659,1,1,1.0
13,15,0,13838,11152,12531,16921,0.5537414965986395,0.4254719543664267,-1,1,1.0
13,17,-1,28306,26010,24736,32764,0.5211355769938876,0.4301913043478261,-1,1,0.0
13,18,0,33600,27607,35569,25590,0.5489568186645318,0.5815824326754853,1,1,1.0
13,19,-1,22247,23140,19851,27966,0.49016238129860973,0.41514524123219776,-1,-1,0.0
13,20,-1,17307,19363,17979,23927,0.47196618489228254,0.42903164224693363,-1,-1,0.0
13,21,-1,18832,18315,19725,22832,0.5069588392063962,0.463496017106469,-1,1,0.0
13,22,-1,17277,20424,19074,22980,0.4582637065329832,0.4535597089456413,-1,-1,0.0
13,23,0,26228,28218,30008,30593,0.4817250119384344,0.49517334697447235,-1,-1,1.0
13,24,-1,22416,23636,23059,28496,0.4867541040562842,0.4472699059257104,-1,-1,0.0
13,26,-1,15584,21980,14914,30615,0.41486529656053667,0.32757143798458127,-1,-1,0.0
13,27,-1,22458,20242,21365,26962,0.5259484777517565,0.44209241210917294,-1,1,0.0
13,28,0,15629,18844,15756,25948,0.4533693035128942,0.3778054862842893,-1,-1,1.0
13,29,-1,20281,26589,20527,33664,0.4327074887988052,0.3787898359506191,-1,-1,0.0
13,30,-1,18346,21789,19818,30622,0.45710726298741744,0.3929024583663759,-1,-1,0.0
13,31,-1,17728,21121,17891,28990,0.456330922288862,0.38162581856189076,-1,-1,0.0
13,32,0,21176,26375,22858,33025,0.4453323799709785,0.40903315856342715,-1,-1,1.0
13,33,-1,19517,17556,20319,24580,0.5264478191675883,0.45254905454464467,-1,1,0.0
13,34,-1,19307,25051,23298,30298,0.435254069164525,0.43469661915068286,-1,-1,0.0
13,35,1,21727,14605,25866,20093,0.5980127711108665,0.5628059792423682,1,1,0.0
13,36,-1,20685,20684,20790,30621,0.5000120863448476,0.40438816595670185,-1,1,0.0
13,37,-1,14314,20530,15718,32327,0.4108024337045115,0.3271516286814445,-1,-1,0.0
14,1,-1,2657,28054,7773,27507,0.08651623196900134,0.22032312925170067,-1,-1,0.0
14,2,-1,2542,24888,6381,24579,0.09267225665329931,0.2061046511627907,-1,-1,0.0
14,3,-1,2712,23994,6608,23877,0.1015502134351831,0.21676234213547646,-1,-1,0.0
14,4,-1,2459,16309,7613,17518,0.13102088661551578,0.30293263300306394,-1,-1,0.0
14,5,-1,19209,18016,8488,21756,0.5160241773002014,0.28065070757836263,-1,1,0.0
14,6,-1,4319,25747,10205,31129,0.1436506352690747,0.24689117917452943,-1,-1,0.0
14,7,-1,14498,16490,10364,26684,0.4678585258809862,0.27974519542215504,-1,-1,0.0
14,8,-1,19683,19016,17684,26384,0.5086177937414403,0.4012889171280748,-1,1,0.0
14,9,-1,3120,14718,7428,22022,0.17490750084090145,0.2522241086587436,-1,-1,0.0
