state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,1,100447,71353,141310,60654,0.584674039580908,0.6996791507397357,1,1,0.0
1,2,1,90298,69402,119530,69403,0.5654226675015654,0.6326581380701095,1,1,0.0
1,3,1,86029,67226,126353,71393,0.5613454699683534,0.638966148493522,1,1,0.0
1,4,1,89709,86337,117220,109027,0.5095770423639276,0.5181063174318333,1,1,0.0
1,5,1,96801,67094,133072,64651,0.5906281460691296,0.673022359563632,1,1,0.0
1,6,1,79865,81907,115498,81105,0.49368864822095293,0.5874681464677548,1,-1,0.0
2,1,0,81302,72984,95195,95398,0.5269564315621638,0.4994674515853153,-1,1,1.0
2,2,1,85956,65476,110931,67978,0.5676211104654234,0.6200414735983097,1,1,0.0
3,5,-1,47377,140702,74133,137735,0.25189946777683847,0.34990182566503675,-1,-1,0.0
3,6,-1,66675,127744,77646,141733,0.3429448767867338,0.3539354268184284,-1,-1,0.0
3,7,1,119543,40930,139095,41671,0.7449415166414288,0.7694754544549307,1,1,0.0
3,10,0,92516,96675,78415,133403,0.48900846234757467,0.37019988858359537,-1,-1,1.0
3,12,-1,80473,98372,78313,115656,0.4499594621040566,0.4037397728503008,-1,-1,0.0
4,1,1,56750,72909,79097,74939,0.43768654701948956,0.5134968448934015,1,-1,0.0
4,2,-1,32838,66176,62382,62680,0.33165006968711497,0.4988085909388943,-1,-1,0.0
5,1,1,79046,60093,110056,56056,0.5681081508419638,0.6625409362357927,1,1,0.0
5,2,1,117911,64438,168374,38601,0.6466226850709355,0.8134992148810243,1,1,0.0
6,98,-1,46643,89097,71193,92252,0.34362015618093417,0.4355777172749243,-1,-1,0.0
11,98,1,72132,90961,112361,86254,0.4422752662591282,0.5657226292072602,1,-1,0.0
12,1,0,61469,68248,117227,150805,0.4738700401643578,0.43736195678127987,-1,-1,1.0
12,2,1,65494,72014,73264,70997,0.47629228844867205,0.5078572864460942,1,-1,0.0
12,3,1,81382,72043,105803,104063,0.5304350659931563,0.5041455023681778,1,1,0.0
12,4,1,82271,63730,134747,64447,0.5634961404373943,0.6764611383877024,1,1,0.0
12,5,-1,41476,108375,70001,122168,0.27678160305903865,0.36426791001670406,-1,-1,0.0
12,6,-1,48738,106406,95021,140999,0.3141468571133914,0.40259723752224386,-1,-1,0.0
12,7,-1,51204,101253,110328,144585,0.33585863554969597,0.4328064869190665,-1,-1,0.0
12,8,1,80725,51784,112483,53732,0.6092039031311081,0.6767319435670668,1,1,0.0
12,9,1,74320,71756,111741,109313,0.5087762534571045,0.5054918707646096,1,1,0.0
12,10,1,71699,36508,92488,31306,0.6626096278429306,0.7471121379065221,1,1,0.0
12,11,1,64023,44803,82457,35956,0.5883061033208976,0.6963509074172599,1,1,0.0
12,13,1,90488,35486,89360,24874,0.7183069522282376,0.7822539699213894,1,1,0.0
12,14,1,87741,36828,73635,25068,0.704356621631385,0.7460259566578523,1,1,0.0
12,15,1,81959,59706,131393,76686,0.5785409240108708,0.6314572830511488,1,1,0.0
13,1,1,101963,58296,126529,68362,0.6362388383803718,0.6492295693490208,1,1,0.0
13,2,-1,49743,79649,82757,88390,0.38443644120192905,0.4835433866792874,-1,-1,0.0
13,3,1,81959,81122,96503,93883,0.5025662094296699,0.5068807580389314,1,1,0.0
13,4,-1,46555,86677,73148,89971,0.34942806532965054,0.44843335233786374,-1,-1,0.0
13,5,1,88602,86356,112899,89455,0.5064186833411447,0.5579281852594957,1,1,0.0
13,6,-1,45621,91526,75327,100069,0.33264307640706686,0.42946817487285915,-1,-1,0.0
13,7,1,93758,34644,121091,49151,0.7301911185184031,0.7112874613785083,1,1,0.0
13,8,1,115310,36573,148696,44398,0.7592028074241357,0.770070535594063,1,1,0.0
13,9,1,75915,56754,109973,48878,0.5722135540329693,0.6923028498404165,1,1,0.0
13,10,1,76439,16702,118941,16941,0.8206804736904263,0.875325650196494,1,1,0.0
13,11,0,39386,12200,75073,17732,0.7635017252742993,0.808932708367006,1,1,1.0
13,12,1,87651,29390,141570,31737,0.7488914141198384,0.8168741020270387,1,1,0.0
13,13,1,95511,28750,129414,34809,0.7686321532902519,0.7880382163277981,1,1,0.0
13,14,1,43142,13482,68165,19861,0.7619030799660921,0.7743734805625611,1,1,0.0
13,15,1,52919,40181,66567,57626,0.5684103114930182,0.5359963927113445,1,1,0.0
13,16,1,71889,53346,89438,56238,0.574032818301593,0.6139515088278097,1,1,0.0
13,17,-1,67334,69492,44533,135807,0.4921140718869221,0.24693911500499058,-1,-1,0.0
13,18,1,45308,10711,94222,11621,0.8087970152983809,0.8902053040824618,1,1,0.0
13,19,1,53581,24340,84781,24829,0.6876323455807806,0.7734786971991606,1,1,0.0
13,20,1,74215,20560,124128,23409,0.7830651543128462,0.841334716037333,1,1,0.0
13,21,1,63173,12414,91898,15380,0.8357654093957956,0.8566341654393259,1,1,0.0
13,22,1,40787,10603,70147,10134,0.7936758124148667,0.8737683885352698,1,1,0.0
13,23,1,84540,21735,108205,30476,0.795483415666902,0.7802438690231539,1,1,0.0
13,24,-1,42291,80882,51740,89814,0.34334635025533194,0.3655142207214208,-1,-1,0.0
13,25,1,106952,88769,122260,95214,0.5464513261223884,0.5621821459116952,1,1,0.0
13,26,-1,39203,107031,78546,102064,0.26808402970581396,0.43489286307513425,-1,-1,0.0
13,27,1,79424,74816,97337,91172,0.5149377593360995,0.5163520044135824,1,1,0.0
13,28,1,84940,78258,95820,84008,0.5204720646086349,0.5328424939386525,1,1,0.0
13,29,0,91174,107671,158797,70518,0.45851794110990973,0.692484137540065,1,-1,1.0
13,30,-1,61216,113759,99841,100950,0.3498556936705244,0.4972384220408285,-1,-1,0.0
13,31,-1,36273,75680,61726,74380,0.3240020365689173,0.4535141727771002,-1,-1,0.0
13,32,-1,36195,94331,75660,86717,0.27730107411550187,0.4659526903440758,-1,-1,0.0
13,33,-1,45761,88378,69277,97213,0.34114612454245224,0.4161030692534086,-1,-1,0.0
13,34,1,90044,62559,96219,91697,0.5900539307877303,0.5120319717320505,1,1,0.0
13,35,1,93746,48668,110948,62463,0.6582639347255186,0.6397979366937507,1,1,0.0
13,36,-1,37129,110514,81509,107406,0.25147822788753954,0.4314585924886854,-1,-1,0.0
13,37,-1,46201,104342,80411,98923,0.3068957042173997,0.4483868089709704,-1,-1,0.0
13,38,-1,35785,82137,64179,90201,0.30346330625328605,0.4157209483093665,-1,-1,0.0
13,39,1,95671,87230,108235,96934,0.5230753249025429,0.5275407103412308,1,1,0.0
13,40,-1,54303,85801,81531,90745,0.3875906469479815,0.47325802781583043,-1,-1,0.0
13,41,1,92222,28491,130961,28578,0.7639773678062843,0.8208713856799905,1,1,0.0
14,1,1,90100,46280,129471,50780,0.6606540548467518,0.7182817293662725,1,1,0.0
14,2,1,76372,51079,125100,30801,0.5992263693497893,0.8024323128139011,1,1,0.0
14,3,1,64575,49434,111885,43471,0.5664026524221772,0.7201846082545894,1,1,0.0
14,4,0,98793,91620,135681,75901,0.5188353736352035,0.6412691060676239,1,1,1.0
14,5,1,86128,59515,117049,62446,0.5913638142581518,0.6521017298531993,1,1,0.0
14,6,1,91538,71508,144697,88495,0.5614243833028716,0.6205058492572644,1,1,0.0
14,7,0,58766,101042,123750,129572,0.3677287745294353,0.48850869644168293,-1,-1,1.0
14,8,0,47845,70435,107670,112472,0.40450625634088605,0.4890934033487476,-1,-1,1.0
14,9,-1,48656,81516,81823,111545,0.3737823802353809,0.4231465392412395,-1,-1,0.0
14,10,-1,57615,115765,88082,90903,0.33230476410197257,0.49211945135067187,-1,-1,0.0
14,11,1,110877,54032,116875,34057,0.6723526308448902,0.7743553388280815,1,1,0.0
14,12,-1,53044,107374,68703,97114,0.3306611477514992,0.41433025564326936,-1,-1,0.0
14,13,-1,51024,134414,96849,139817,0.2751539598140618,0.4092222794993789,-1,-1,0.0
14,14,1,83967,39024,117525,39513,0.6827084908651853,0.7483857410308333,1,1,0.0
14,15,1,80407,73404,81062,41656,0.5227649517914843,0.6605550937922717,1,1,0.0
14,16,0,36721,82527,50509,90331,0.3079380786260566,0.35862681056518037,-1,-1,1.0
14,17,-1,55761,109169,66266,91504,0.33808888619414296,0.4200164796856183,-1,-1,0.0
14,18,-1,52714,107677,71621,119938,0.3286593387409518,0.373884808335813,-1,-1,0.0
14,19,1,65907,70445,82498,79809,0.4833592466557146,0.5082836846223515,1,-1,0.0
14,20,1,93068,48229,126846,43591,0.6586693277281188,0.7442398070841425,1,1,0.0
14,21,1,80472,44800,97379,50513,0.6423781850692892,0.6584467043518243,1,1,0.0
14,22,-1,50017,103808,61482,81400,0.3251552088412157,0.4302991279517364,-1,-1,0.0
14,23,-1,48373,81658,62932,76575,0.3720112896155532,0.4511028120452737,-1,-1,0.0
14,24,1,85193,68955,92612,89828,0.5526701611438358,0.5076299057224293,1,1,0.0
14,25,1,92073,50639,121140,51071,0.6451664891529795,0.7034393854051135,1,1,0.0
14,26,1,83687,46957,109532,51219,0.6405728544747559,0.6813767877027204,1,1,0.0
14,27,-1,51928,108731,71519,120395,0.32321874280307983,0.37266171305897433,-1,-1,0.0
21,1,1,91119,34421,150953,26823,0.7258164728373426,0.8491191161911619,1,1,0.0
21,2,1,83471,57629,107795,52416,0.5915733522324592,0.6728314535206696,1,1,0.0
21,3,1,83857,77442,120711,83404,0.5198854301638571,0.5913872081914607,1,1,0.0
21,4,-1,48673,125365,100895,144762,0.2796688079614797,0.41071493993657826,-1,-1,0.0
21,5,1,85770,66735,101626,57871,0.5624077899085276,0.6371655893214292,1,1,0.0
21,6,1,84126,63374,89850,17918,0.5703457627118644,0.8337354316680277,1,1,0.0
21,7,1,82962,19650,106708,17471,0.8085019295988773,0.8593079345138872,1,1,0.0
21,8,1,94631,63377,137715,70624,0.5989000556933826,0.6610140204186447,1,1,0.0
21,9,1,96746,64875,113851,64428,0.598597954473738,0.6386113900122841,1,1,0.0
21,10,-1,58376,132650,111029,172499,0.305591908954802,0.3915980079568861,-1,-1,0.0
21,11,1,105996,102244,129337,98132,0.5090088359585094,0.5685917641524779,1,1,0.0
21,12,-1,40502,90483,68555,97003,0.30921097835630035,0.414084490027664,-1,-1,0.0
21,13,-1,50107,158769,120449,165129,0.23988873781573758,0.4217726855710174,-1,-1,0.0
21,14,-1,51385,130442,101432,145830,0.28260379371600475,0.4102207375172894,-1,-1,0.0
21,15,-1,39123,102018,73741,103709,0.2771908942121708,0.4155593124823894,-1,-1,0.0
21,16,-1,33274,89990,71992,93051,0.26994093977154726,0.4362014747671819,-1,-1,0.0
21,17,-1,50350,104240,74261,96209,0.3257002393427777,0.4356250366633425,-1,-1,0.0
21,18,-1,57100,80293,77711,91173,0.4155961366299593,0.4601442410175031,-1,-1,0.0
21,19,1,71050,77895,81800,74290,0.477021719426634,0.524056633993209,1,-1,0.0
21,20,-1,62343,102609,98256,119184,0.3779463116542994,0.45187637969094924,-1,-1,0.0
21,21,1,103128,80382,117701,63431,0.5619748242602582,0.6498078749199478,1,1,0.0
21,22,-1,55818,96453,71875,80895,0.3665701282581713,0.4704784970871244,-1,-1,0.0
21,23,1,95156,73463,119447,99496,0.5643254911961285,0.5455620869358692,1,1,0.0
21,24,1,82513,32915,144743,46419,0.7148438853657691,0.7571745430577207,1,1,0.0
22,1,1,71040,50804,133089,75226,0.5830406093036998,0.6388834217411132,1,1,0.0
22,2,-1,71825,97161,78566,88204,0.4250352100173979,0.47110391557234516,-1,-1,0.0
22,3,1,75321,59731,121209,78642,0.5577185084263839,0.6064968401459087,1,1,0.0
22,4,-1,54331,94457,82284,89437,0.3651571363281985,0.47917261138707556,-1,-1,0.0
22,5,1,76176,72873,114252,92802,0.5110802487772478,0.5517980816598569,1,1,0.0
22,6,-1,63342,124087,73002,86168,0.33795197114640746,0.45864170383866304,-1,-1,0.0
22,7,0,67135,79864,71461,84427,0.4567037871005925,0.45841244996407676,-1,-1,1.0
22,8,1,90887,94924,109134,84135,0.48913681106070145,0.5646741070735607,1,-1,0.0
22,9,1,89392,76661,74939,62780,0.5383341463267752,0.5441442357263704,1,1,0.0
22,10,-1,54515,94428,87721,89303,0.3660125014267203,0.49553167932031816,-1,-1,0.0
22,11,1,65624,52096,149342,146424,0.5574583758069996,0.5049329537539812,1,1,0.0
23,1,1,89908,16853,138589,25735,0.8421427300231358,0.843388671161851,1,1,0.0
23,2,1,62536,65205,77806,76280,0.4895530800604348,0.5049517801747077,1,-1,0.0
23,3,1,62984,68912,85001,76350,0.47752774913568263,0.5268080148248229,1,-1,0.0
23,4,-1,37177,78190,70212,83391,0.3222498634791578,0.45710044725688953,-1,-1,0.0
23,5,-1,40435,88108,64488,101810,0.31456399803956653,0.38778578215011605,-1,-1,0.0
23,6,-1,41695,85669,68265,88882,0.3273688012311171,0.43440218394242336,-1,-1,0.0
23,7,1,60408,71166,104115,54307,0.45911806283916273,0.6572003888348841,1,-1,0.0
23,8,-1,36967,85657,69931,84588,0.3014662708768267,0.4525721755900569,-1,-1,0.0
23,9,-1,46266,92710,70693,95376,0.3329064011052268,0.4256845046336161,-1,-1,0.0
23,10,-1,41410,85754,66835,87232,0.3256424774307194,0.4338047732480025,-1,-1,0.0
23,11,1,65875,70820,86557,75955,0.48191228647719375,0.5326191296642709,1,-1,0.0
23,12,1,84379,45199,126769,42615,0.6511830712003581,0.7484118925046049,1,1,0.0
23,13,1,60660,12393,102413,16585,0.8303560428729826,0.8606279097127683,1,1,0.0
23,14,1,77851,52490,120308,59487,0.5972871161031448,0.6691398537222948,1,1,0.0
23,15,1,72987,34619,103724,42464,0.678280021560136,0.7095247215913755,1,1,0.0
23,16,1,71787,42738,112763,40673,0.6268238375900459,0.7349187935034803,1,1,0.0
23,17,1,90541,40334,136230,50580,0.6918127984718243,0.7292436165087522,1,1,0.0
23,18,-1,48627,102501,74576,109777,0.3217603620771796,0.40452826913584267,-1,-1,0.0
23,19,1,57907,76884,88441,77204,0.4296058342174181,0.5339189229979776,1,-1,0.0
24,1,1,62580,70366,74525,69114,0.4707174341461947,0.51883541378038,1,-1,0.0
24,2,-1,42367,102313,79824,122487,0.2928324578379873,0.39456084938535224,-1,-1,0.0
24,3,1,53658,62471,129469,119400,0.46205512834864676,0.5202295183409745,1,-1,0.0
24,4,-1,37855,66142,64667,81204,0.3640008846409031,0.4433163548614872,-1,-1,0.0
