state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,1,134258,96251,127802,103294,0.5824414664937161,0.5530255824419289,1,1,0.0
1,2,1,66523,68747,69339,64916,0.49177940415465365,0.516472384641168,1,-1,0.0
1,3,0,89391,82304,84449,83310,0.5206383412446489,0.5033947508032356,1,1,1.0
1,4,0,88682,111939,92618,117727,0.4420374736443343,0.44031472105350733,-1,-1,1.0
1,5,-1,56752,65915,58300,62804,0.46265091670946545,0.48140441273616064,-1,-1,0.0
1,98,-1,426485,433912,429348,433311,0.4956839691444763,0.4977030321366844,-1,-1,0.0
2,1,-1,41620,48869,31528,52536,0.45994540772911624,0.37504758279406164,-1,-1,0.0
2,2,-1,36506,49743,24698,50552,0.42326287841018445,0.3282126245847176,-1,-1,0.0
2,3,-1,22605,38289,15888,38692,0.37121883929451177,0.29109563942836203,-1,-1,0.0
3,1,-1,39717,88018,56604,75582,0.3109327905429209,0.42821478825291637,-1,-1,0.0
3,2,1,76497,63493,81775,67267,0.5464461747267662,0.5486708444599508,1,1,0.0
3,3,1,93591,37258,104601,36855,0.7152595740127934,0.7394596199524941,1,1,0.0
3,4,1,76881,57483,89064,61448,0.5721845137090292,0.5917401934729457,1,1,0.0
3,7,1,91854,24307,100333,26339,0.7907473248336361,0.7920692812934192,1,1,0.0
3,8,-1,61559,71983,72767,75844,0.46097108025939404,0.48964746889530386,-1,-1,0.0
3,9,-1,55949,78655,63275,82750,0.4156562955038483,0.43331621297722994,-1,-1,0.0
3,10,-1,63618,88549,52022,118741,0.41808013564044766,0.3046444487388954,-1,-1,0.0
3,13,-1,54243,90387,69050,89913,0.37504667081518356,0.43437781118876717,-1,-1,0.0
3,14,-1,46332,84508,55369,87973,0.35411189238764906,0.3862719928562459,-1,-1,0.0
4,1,-1,42371,57371,51262,64794,0.42480599947865494,0.4417005583511408,-1,-1,0.0
4,2,-1,30389,55116,43289,59505,0.35540611660136834,0.42112380100005836,-1,-1,0.0
5,1,1,90065,52553,95045,58209,0.6315121513413454,0.6201795711694311,1,1,0.0
5,2,1,93039,60036,98586,66672,0.6078000979911808,0.5965581091384381,1,1,0.0
6,98,0,22709,65248,47767,74076,0.25818297577225235,0.39203729389460207,-1,-1,1.0
11,98,-1,56091,73313,68909,71127,0.43345646193317056,0.49208060784369734,-1,-1,0.0
12,1,-1,64868,85100,77012,89211,0.4325456097300758,0.4633053187585352,-1,-1,0.0
12,2,-1,46121,54897,38194,62804,0.4565621968362074,0.3781659042753322,-1,-1,0.0
12,3,-1,47055,79374,59810,87538,0.3721851790332914,0.405909818932052,-1,-1,0.0
12,4,1,60364,55364,77018,48204,0.5216023779897692,0.6150516682372107,1,1,0.0
12,5,-1,50220,80678,66387,92286,0.38365750431633794,0.4183887617931217,-1,-1,0.0
12,6,-1,45376,74739,61465,83285,0.37777130250176916,0.4246286701208981,-1,-1,0.0
12,7,0,34578,79421,56095,72873,0.3033184501618435,0.4349528565225482,-1,-1,1.0
12,8,-1,34194,60420,59043,59191,0.3614052888578857,0.49937412250283336,-1,-1,0.0
12,9,-1,38421,67712,54682,90153,0.36200804650768376,0.3775468636724549,-1,-1,0.0
12,10,1,60432,38613,58668,52898,0.6101469029229138,0.5258591327106825,1,1,0.0
12,11,1,46242,42581,52644,50920,0.5206084009772244,0.5083233556061952,1,1,0.0
12,12,-1,45525,54123,58495,63232,0.456858140655106,0.48054252548736104,-1,-1,0.0
12,13,0,55008,43851,84487,39661,0.5564288532151853,0.680534523310887,1,1,1.0
12,14,1,61410,42272,76881,45564,0.5922918153585001,0.6278819061619503,1,1,0.0
13,1,-1,76375,76240,48816,101924,0.5004422894210923,0.3238423776038212,-1,1,0.0
13,2,-1,60152,129291,62142,144052,0.317520309539017,0.3013763737063154,-1,-1,0.0
13,3,-1,55285,92466,65247,104476,0.37417682452233825,0.38443228083406494,-1,-1,0.0
13,4,1,55793,43055,62190,58192,0.5644322596309486,0.516605472578957,1,1,0.0
13,5,1,63620,54061,83213,72012,0.5406140328515223,0.5360798840392977,1,1,0.0
13,6,1,60725,41615,76828,55844,0.5933652530779754,0.5790822479498312,1,1,0.0
13,7,1,47466,30379,65162,43483,0.6097501445179523,0.5997698927700308,1,1,0.0
13,8,0,42305,18551,61037,25773,0.6951656369133693,0.7031102407556733,1,1,1.0
13,10,1,66847,25485,69502,32290,0.7239851839015726,0.6827845017290161,1,1,0.0
13,11,1,67560,31558,74974,41289,0.6816118162190521,0.6448655204149213,1,1,0.0
13,12,1,42396,22796,55021,29061,0.6503251932752485,0.6543731119621322,1,1,0.0
13,13,1,54919,35418,66111,44718,0.607934733276509,0.5965135478981133,1,1,0.0
13,15,1,72396,17144,94828,21703,0.8085324994415903,0.8137577125400108,1,1,0.0
13,16,1,42516,37363,51185,45623,0.5322550357415591,0.52872696471366,1,1,0.0
13,17,-1,44502,57247,52101,74581,0.4373703918466029,0.4112738984228225,-1,-1,0.0
13,19,1,58616,21034,77426,20697,0.7359196484620213,0.7890708600430072,1,1,0.0
13,20,1,57432,29305,73866,34819,0.6621395713478677,0.679633804112803,1,1,0.0
13,21,-1,33349,62604,64654,66527,0.34755557408314486,0.49286100883512096,-1,-1,0.0
13,22,1,35233,15208,63523,14012,0.6984992367320235,0.8192816147546269,1,1,0.0
13,26,1,69152,44598,91456,57061,0.6079296703296704,0.6157948248348674,1,1,0.0
13,27,-1,59759,78221,67541,81144,0.43309899985505146,0.4542556411204896,-1,-1,0.0
13,28,-1,35059,79490,46335,88822,0.3060611615989664,0.3428235311526595,-1,-1,0.0
13,29,-1,43315,72721,48063,79229,0.37328932400289566,0.37758068063978883,-1,-1,0.0
13,30,0,41833,86053,49691,91649,0.32711164630999484,0.35157068062827224,-1,-1,1.0
13,31,-1,41680,79007,58215,77725,0.34535616926429524,0.42824040017654846,-1,-1,0.0
13,32,1,90420,60087,88476,65341,0.6007693994299268,0.5752030009686836,1,1,0.0
13,33,-1,42680,100425,52059,98618,0.2982425491771776,0.3455006404428015,-1,-1,0.0
13,34,-1,32446,67739,43777,70715,0.3238608574137845,0.3823585927401041,-1,-1,0.0
13,35,1,54284,60657,62855,62717,0.4722770812851811,0.5005494855541044,1,-1,0.0
