state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,-1,120100,102257,68435,72306,0.5401224157548447,0.48624778849091593,-1,1,0.0
1,2,-1,63013,59973,43934,46426,0.5123591303075147,0.4862107127047366,-1,1,0.0
1,3,-1,82472,77753,53825,57612,0.5147261663286004,0.4830083365489021,-1,1,0.0
1,4,-1,100035,102043,56861,63719,0.49503162145310226,0.4715624481671919,-1,-1,0.0
1,5,-1,54885,60137,36327,42602,0.4771695849489663,0.460249084620355,-1,-1,0.0
1,98,-1,424146,397725,257941,283280,0.5160736903966681,0.47659089355365,-1,1,0.0
2,1,-1,21620,47721,28759,38128,0.3117924460276027,0.4299639690821834,-1,-1,0.0
2,2,-1,22139,46545,20164,42062,0.32233125618775843,0.32404461157715425,-1,-1,0.0
3,1,0,62525,63693,36257,50302,0.4953730846630433,0.4188703658776095,-1,-1,1.0
3,2,-1,60195,75571,36675,58781,0.44337315675500494,0.38420843110962116,-1,-1,0.0
3,3,1,78848,49300,46412,45689,0.6152885725879452,0.5039250388160823,1,1,0.0
3,4,-1,60967,76097,42895,57323,0.4448068055798751,0.4280169231076254,-1,-1,0.0
3,6,-1,42937,87211,22523,68739,0.32990902664658694,0.24679494203502006,-1,-1,0.0
3,8,-1,59058,79912,44401,57016,0.4249694178599698,0.4378062849423667,-1,-1,0.0
3,9,-1,53820,75803,35633,50902,0.4152040918664126,0.41177558213439647,-1,-1,0.0
3,10,-1,79380,100334,61359,64247,0.44170181510622436,0.4885037338980622,-1,-1,0.0
3,11,1,75469,39523,60850,27008,0.6562978294142201,0.692594868993148,1,1,0.0
3,12,1,97469,31178,76043,20600,0.7576468942144007,0.7868443653446189,1,1,0.0
3,13,-1,50377,97013,42995,62608,0.34179388018183054,0.4071380547901101,-1,-1,0.0
3,14,-1,48993,79928,37598,54977,0.3800234251983773,0.40613556575749393,-1,-1,0.0
4,1,-1,55492,57537,39743,43281,0.4909536490635147,0.47869290807477355,-1,-1,0.0
4,2,0,46872,55911,30473,42718,0.45602872070283995,0.4163490046590428,-1,-1,1.0
