state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,-1,65922,75743,25777,45054,0.4653372392616384,0.36392257627310076,-1,-1,0.0
1,2,-1,37786,48590,20538,33809,0.43745947948504216,0.37790494415515113,-1,-1,0.0
1,3,-1,52358,58337,20281,40055,0.4729933601337007,0.33613431450543624,-1,-1,0.0
1,4,-1,55106,71649,19623,44477,0.43474419155062916,0.3061310452418097,-1,-1,0.0
1,5,-1,39354,43332,20352,28687,0.4759451418619839,0.41501661942535534,-1,-1,0.0
2,1,-1,19219,40255,16032,27040,0.3231496115949827,0.3722139673105498,-1,-1,0.0
2,2,-1,19420,36791,20422,26593,0.34548398000391384,0.4343720089333192,-1,-1,0.0
2,3,-1,12498,36686,16421,30216,0.2541070266753416,0.3521024079593456,-1,-1,0.0
2,4,0,10753,32223,13457,22858,0.25020941921072226,0.37056312818394604,-1,-1,1.0
3,1,-1,41216,51791,26592,37878,0.4431494403647037,0.4124709167054444,-1,-1,0.0
3,2,0,43856,52344,20450,36333,0.45588357588357586,0.36014300054593806,-1,-1,1.0
3,3,-1,34776,46204,21257,35887,0.42943936774512226,0.37199006019879605,-1,-1,0.0
3,4,-1,42115,51145,27706,37744,0.45158696118378727,0.4233155080213904,-1,-1,0.0
3,5,-1,35713,56004,18846,46464,0.38938255721403886,0.28856224161690397,-1,-1,0.0
3,6,-1,27130,58293,11975,39918,0.3175959636163562,0.23076330140866783,-1,-1,0.0
3,8,-1,53721,71850,26601,46642,0.4278137468045966,0.36318829103122485,-1,-1,0.0
3,9,-1,48290,48947,25211,34468,0.4966216563653753,0.4224434055530421,-1,-1,0.0
3,13,-1,53266,74097,28346,50463,0.41822193258638696,0.3596797320103034,-1,-1,0.0
3,14,0,46498,73598,26469,51920,0.3871735944577671,0.33766217198841675,-1,-1,1.0
3,15,-1,30373,39905,17963,33687,0.4321836136486525,0.347783155856728,-1,-1,0.0
3,16,-1,23590,49202,16570,35235,0.32407407407407407,0.3198532960138983,-1,-1,0.0
4,1,-1,39568,53642,25555,40566,0.42450380860422704,0.38648840761633974,-1,-1,0.0
4,2,-1,36275,54642,21312,36598,0.3989902878449575,0.3680193403557244,-1,-1,0.0
5,1,-1,33902,42366,19066,32459,0.4445114595898673,0.3700339640950995,-1,-1,0.0
5,2,-1,34947,43772,20738,33542,0.4439461883408072,0.38205600589535743,-1,-1,0.0
5,3,-1,45605,34223,28909,29366,0.5712907751666082,0.4960789360789361,-1,1,0.0
6,1,-1,25095,44082,10529,27419,0.36276508087948306,0.2774586275956572,-1,-1,0.0
6,2,-1,11356,47141,6753,27711,0.1941296134844522,0.19594359331476324,-1,-1,0.0
11,98,-1,38045,66369,29424,38909,0.364366847357634,0.43059722242547527,-1,-1,0.0
12,1,-1,36778,109510,24990,57522,0.25140818112216995,0.3028650378126818,-1,-1,0.0
12,2,-1,30856,99109,12775,53147,0.237417766321702,0.1937896301689876,-1,-1,0.0
12,3,-1,56290,95669,39074,61484,0.37042886568087446,0.38857176952604466,-1,-1,0.0
12,4,-1,37341,65149,22059,35948,0.3643379841935799,0.38028169014084506,-1,-1,0.0
12,5,-1,46211,95458,28644,50209,0.3261899215777623,0.3632582146525814,-1,-1,0.0
12,6,-1,60988,98859,33132,58244,0.38153984747915193,0.3625897390999825,-1,-1,0.0
12,7,-1,41012,54896,11083,29383,0.42761813404512655,0.2738842485049177,-1,-1,0.0
12,8,1,64594,64915,39436,28273,0.498760703889305,0.5824336498840627,1,-1,0.0
12,9,-1,35730,46685,13058,19751,0.43353758417763755,0.3980005486299491,-1,-1,0.0
12,10,-1,45287,74154,15727,28960,0.37915791060021264,0.3519368048873274,-1,-1,0.0
12,11,0,51982,31728,45877,14083,0.6209771831322423,0.765126751167445,1,1,1.0
12,12,1,56748,34817,54082,11034,0.6197564571615792,0.8305485594938264,1,1,0.0
