state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,1,126566,50690,176463,51985,0.7140294263663853,0.7724427440818041,1,1,0.0
1,2,1,105085,70922,143326,81965,0.5970501173248791,0.6361816495110768,1,1,0.0
1,3,0,90772,83440,147394,74275,0.5210433265217091,0.6649283391001899,1,1,1.0
1,4,-1,32352,105682,55751,147843,0.2343770375414753,0.2738341994361327,-1,-1,0.0
1,5,0,85803,93912,58612,163729,0.47743927885819215,0.2636130987986921,-1,-1,1.0
1,6,-1,48628,141105,78814,157020,0.25629700684646317,0.33419269486164,-1,-1,0.0
2,1,0,167623,110836,190989,111125,0.6019665372640137,0.6321752715862224,1,1,1.0
2,2,-1,116798,121704,85346,167229,0.48971497094363986,0.33790359299218053,-1,-1,0.0
3,1,-1,43611,150748,38907,186356,0.22438374348499426,0.17271811171830262,-1,-1,0.0
3,4,1,143473,75454,169729,71661,0.6553463026488281,0.7031318613032851,1,1,0.0
3,6,1,149284,80177,177643,77186,0.6505855025472739,0.6971066872294754,1,1,0.0
3,8,1,125479,39310,165745,40316,0.7614525241369267,0.8043491975677105,1,1,0.0
3,10,1,137805,120217,187178,93564,0.5340823650696452,0.6667260331549965,1,1,0.0
4,1,0,66176,81684,86623,131824,0.4475585012849993,0.39654012186022236,-1,-1,1.0
4,2,-1,74829,67063,89677,119742,0.5273658839117075,0.4282180699936491,-1,1,0.0
5,1,-1,73131,89963,84141,105506,0.4483978564508811,0.4436716636698709,-1,-1,0.0
5,2,0,108818,74953,56129,145218,0.5921391296776967,0.27876750088156266,-1,1,1.0
11,98,1,116274,58037,158338,76179,0.6670491248400847,0.6751664058469109,1,1,0.0
12,1,0,73522,57801,141988,60037,0.5598562323431538,0.7028239079321866,1,1,1.0
12,3,1,77709,73451,117024,107479,0.5140844138661022,0.52125806782092,1,1,0.0
12,4,-1,55454,101508,79066,155283,0.3532957021444681,0.33738569398631957,-1,-1,0.0
12,5,-1,35010,118101,54828,175562,0.2286576405352979,0.23797907895307957,-1,-1,0.0
12,6,1,63696,58209,120125,74824,0.5225052294819736,0.6161867975726985,1,1,0.0
12,7,-1,31114,100274,52189,153350,0.23681005875726854,0.25391288271325635,-1,-1,0.0
12,9,1,82736,59759,142012,68363,0.5806238815397031,0.6750421865715983,1,1,0.0
12,10,1,42616,9072,84681,13848,0.8244853737811484,0.8594525469658679,1,1,0.0
12,11,-1,47782,95198,64773,154654,0.334186599524409,0.2951915671271083,-1,-1,0.0
12,12,0,52498,108173,71596,165918,0.32674222479476694,0.3014390730651667,-1,-1,1.0
12,13,-1,68286,100537,73561,167470,0.4044828015140117,0.3051931079404724,-1,-1,0.0
12,14,1,57581,25473,104001,47293,0.69329592795049,0.6874099435536108,1,1,0.0
13,1,1,75211,46380,105624,102327,0.6185572945366022,0.5079273482695442,1,1,0.0
13,2,1,56722,36859,107646,66972,0.6061273121680683,0.6164656564615332,1,1,0.0
