state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,1,19043,19899,17256,16726,0.489009295875918,0.5077982461303043,1,-1,0.0
1,2,1,14270,18255,14936,14421,0.438739431206764,0.5087713322205948,1,-1,0.0
1,3,1,15310,16072,16267,12989,0.48785928239117965,0.5560226961990703,1,-1,0.0
1,4,1,16610,20231,15616,14188,0.45085638283434215,0.5239565159039055,1,-1,0.0
1,5,1,12877,14543,12073,11724,0.4696207148067104,0.5073328570828256,1,-1,0.0
2,1,-1,16035,16622,15580,17635,0.49101264659950394,0.46906518139394854,-1,-1,0.0
2,2,1,16508,11335,18077,16796,0.5928958804726502,0.5183666446821323,1,1,0.0
2,3,0,18085,19600,16512,17221,0.47989916412365663,0.4894910028755225,-1,-1,1.0
2,4,-1,10021,12707,16725,20198,0.44090989088349175,0.45296969368686185,-1,-1,0.0
3,1,-1,10695,15556,12075,12920,0.4074130509313931,0.4830966193238648,-1,-1,0.0
3,3,0,10539,15838,9742,12945,0.39955264055806194,0.429408912593115,-1,-1,1.0
3,4,-1,12373,16972,11216,15153,0.4216391208042256,0.42534794645227353,-1,-1,0.0
3,5,-1,9136,17249,11037,12827,0.3462573431874171,0.46249580958766345,-1,-1,0.0
3,6,-1,7692,19960,9704,16918,0.2781715608274266,0.36451055517992637,-1,-1,0.0
3,7,1,13962,11530,12964,8952,0.5477012396045818,0.5915313013323599,1,1,0.0
3,8,1,14359,15227,12484,11209,0.4853308997498817,0.5269066812982738,1,-1,0.0
3,9,-1,9773,16087,8732,14021,0.3779195668986852,0.383773568320661,-1,-1,0.0
3,10,0,12409,3018,12031,2418,0.8043689635055422,0.8326527787390131,1,1,1.0
3,11,0,11863,13510,17875,8786,0.4675442399400938,0.6704549716814823,1,-1,1.0
3,12,0,18315,7673,14875,5812,0.70474834539018,0.7190506114951418,1,1,1.0
3,13,0,15935,17988,13583,15934,0.4697402941956784,0.46017549208930447,-1,-1,1.0
3,14,0,13246,12556,11939,9968,0.5133710565072475,0.5449856210343725,1,1,1.0
3,15,-1,7495,12729,8975,11207,0.37059928797468356,0.4447032008720642,-1,-1,0.0
3,16,1,10153,11322,10461,8186,0.47278230500582075,0.561001769721671,1,-1,0.0
4,1,1,19140,20657,18888,17363,0.4809407744302334,0.5210339025130342,1,-1,0.0
4,2,0,16101,21793,21794,17961,0.4248957618620362,0.5482077726072192,1,-1,1.0
5,1,1,12983,12080,13057,9663,0.5180146031999362,0.5746919014084507,1,1,0.0
5,2,1,12097,13072,10728,10335,0.4806309348802098,0.5093291553909699,1,-1,0.0
5,3,-1,10110,13849,9841,11718,0.42197086689761676,0.45646829630316804,-1,-1,0.0
6,1,-1,6817,19237,9154,15469,0.26164888308896905,0.3717662348211022,-1,-1,0.0
6,2,0,6868,17743,8268,13316,0.2790622079557921,0.3830615270570793,-1,-1,1.0
11,98,1,20681,22922,22485,16740,0.4743022269109924,0.5732313575525813,1,-1,0.0
12,1,-1,13271,24142,13170,14512,0.35471627509154574,0.4757604219348313,-1,-1,0.0
12,2,1,14352,21448,16130,12330,0.40089385474860334,0.5667603654251581,1,-1,0.0
12,3,1,21338,19303,20596,14363,0.5250362933982924,0.5891472868217055,1,1,0.0
12,4,1,13766,17078,13222,8607,0.44631046556866816,0.6057080031151221,1,-1,0.0
12,5,1,15718,16951,13920,10085,0.481128898956197,0.5798791918350343,1,-1,0.0
12,6,0,16286,15880,15216,8373,0.506311011627184,0.6450464199414981,1,1,1.0
12,8,0,11678,13438,14058,9527,0.46496257365822585,0.596056815772737,1,-1,1.0
12,10,1,12278,13765,10854,7111,0.47145106170564066,0.604174784302811,1,-1,0.0
12,11,1,17551,8400,14208,7018,0.6763130515201726,0.6693677565250165,1,1,0.0
12,12,1,16260,7379,17980,8089,0.6878463555987986,0.6897080823967164,1,1,0.0
13,1,1,17722,17726,16505,11753,0.4999435793274656,0.5840823837497345,1,-1,0.0
13,2,0,21330,10552,23090,6941,0.6690295464525438,0.7688721654290567,1,1,1.0
13,3,0,11298,8368,12658,6633,0.5744940506457846,0.65616090404852,1,1,1.0
13,4,1,7860,5496,9059,3574,0.5884995507637018,0.7170901606902557,1,1,0.0
13,5,1,11754,8327,12504,7677,0.5853294158657437,0.6195926861899806,1,1,0.0
13,6,0,16180,22262,13290,21691,0.4208938140575412,0.37992052828678424,-1,-1,1.0
13,7,1,15065,6659,16082,5021,0.6934726569692506,0.7620717433540255,1,1,0.0
13,8,1,20213,9935,17403,6027,0.6704590685949317,0.7427656850192061,1,1,0.0
13,9,1,15224,18547,15903,10122,0.450800983092002,0.6110662824207492,1,-1,0.0
13,11,1,13200,7680,15417,4078,0.632183908045977,0.7908181585021801,1,1,0.0
13,13,1,5934,3081,5697,1151,0.6582362728785358,0.8319217289719626,1,1,0.0
13,14,0,7310,5331,8950,3468,0.5782770350446959,0.7207279755194073,1,1,1.0
13,15,1,13846,6698,16791,4721,0.6739680685358256,0.7805410933432503,1,1,0.0
13,16,1,12874,6012,15036,5929,0.6816689611352325,0.7171953255425709,1,1,0.0
13,18,1,12434,8804,13704,4943,0.5854600244844147,0.7349171448490374,1,1,0.0
13,20,1,4843,4923,5221,1596,0.4959041572803604,0.7658794190993106,1,-1,0.0
13,21,0,11575,9826,13189,5265,0.5408625765151162,0.7146960008670207,1,1,1.0
13,22,0,17886,8900,15886,6098,0.6677368774733069,0.7226164483260553,1,1,1.0
13,23,1,18822,12060,19320,8779,0.6094812512142996,0.6875689526317662,1,1,0.0
13,24,1,17605,16554,17804,8219,0.5153839398108844,0.6841640087614802,1,1,0.0
13,25,1,14369,17888,16168,12522,0.4454536999720991,0.5635413035901011,1,-1,0.0
13,26,-1,14412,21634,20191,20618,0.3998224490928258,0.4947683109118087,-1,-1,0.0
13,27,1,18074,22505,23743,19125,0.4454027945489046,0.5538630213679201,1,-1,0.0
13,28,0,24405,27158,23193,23076,0.4733045012896845,0.5012643454580821,1,-1,1.0
13,29,-1,15171,29454,18180,22348,0.33996638655462186,0.4485787603632057,-1,-1,0.0
13,30,0,9950,16521,13881,14194,0.37588304181934945,0.49442564559216384,-1,-1,1.0
13,31,-1,7850,17720,12995,18458,0.30700039108330074,0.4131561377293104,-1,-1,0.0
13,32,-1,11544,24884,15848,21607,0.3168990886131547,0.42312107862768655,-1,-1,0.0
13,33,1,15035,21144,17855,16703,0.41557256972276735,0.5166676312286591,1,-1,0.0
13,34,-1,12564,22786,20322,22072,0.3554172560113154,0.47936028683304244,-1,-1,0.0
13,35,1,15131,23075,18009,17874,0.39603727163272784,0.5018811136192626,1,-1,0.0
