state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,1,101766,66005,74533,59240,0.6065768219775766,0.5571602640293631,1,1,0.0
1,2,-1,55369,50369,43816,44899,0.5236433448712856,0.49389618441075356,-1,1,0.0
1,3,1,77295,57243,55894,52832,0.5745216964723722,0.514081268509832,1,1,0.0
1,4,-1,80875,67768,45835,54178,0.5440888571947552,0.45829042224510813,-1,1,0.0
1,5,1,55897,39230,42594,38547,0.5876039399960054,0.5249380707657041,1,1,0.0
1,98,1,371572,282618,263794,249146,0.5679878934254574,0.514278473115764,1,1,0.0
2,1,1,44106,60565,48235,46635,0.4213774588950139,0.5084325919679562,1,-1,0.0
2,2,0,38986,53822,52491,46200,0.42007154555641757,0.5318722071921452,1,-1,1.0
2,3,-1,36103,56044,41710,44024,0.3917978881569666,0.4865047705694357,-1,-1,0.0
3,1,-1,52342,60043,35061,51046,0.4657383102727232,0.4071794395345326,-1,-1,0.0
3,2,0,52197,57618,47894,42495,0.4753175795656331,0.5298653597229751,1,-1,1.0
3,3,1,64960,54154,46830,46572,0.5453599073156807,0.501381126742468,1,1,0.0
3,4,-1,56770,61624,38984,54601,0.4795006503707958,0.4165624833039483,-1,-1,0.0
3,5,-1,48701,90845,46124,75754,0.3489960299829447,0.3784440177882801,-1,-1,0.0
3,7,1,76521,51009,62666,40988,0.6000235238767349,0.6045690470218226,1,1,0.0
3,8,1,60211,46446,53581,37873,0.5645292854664954,0.5858792398364205,1,1,0.0
3,9,1,61582,70852,60141,54198,0.46500143467689564,0.5259885078582112,1,-1,0.0
3,12,1,78711,35827,78783,16370,0.687204246625574,0.8279612834067239,1,1,0.0
3,13,-1,54576,76793,48241,58653,0.41544047682482166,0.4512975471027373,-1,-1,0.0
3,14,-1,38609,58758,38325,46411,0.39653065206897614,0.4522871034743202,-1,-1,0.0
3,15,-1,42538,58355,38336,46446,0.42161497824427857,0.452171451487344,-1,-1,0.0
4,1,0,51370,51920,48568,41425,0.49733759318423854,0.5396864200548932,1,-1,1.0
4,2,-1,45437,53706,37122,42706,0.45829761052217505,0.4650248033271534,-1,-1,0.0
5,1,0,74058,62199,70516,49087,0.5435170303177085,0.5895838733142146,1,1,1.0
5,2,1,75899,71981,69765,55191,0.513247227481742,0.558316527417651,1,1,0.0
6,98,-1,56334,83091,54967,73809,0.4040451855836471,0.4268419581288439,-1,-1,0.0
11,98,-1,65485,55664,45927,52468,0.5405327324204079,0.46676152243508306,-1,1,0.0
12,1,-1,75631,84980,48770,81634,0.4708955177416242,0.3739915953498359,-1,-1,0.0
12,2,-1,55580,50958,48743,49824,0.5216917907225591,0.49451642030294113,-1,1,0.0
12,3,1,68189,64237,58670,53170,0.5149215410870976,0.5245886981402003,1,1,0.0
12,4,-1,52735,58258,36326,48760,0.4751200526159307,0.4269327503937193,-1,-1,0.0
12,5,-1,62904,65459,50395,54938,0.4900477551942538,0.4784350583387922,-1,-1,0.0
12,6,-1,61351,62525,45581,51528,0.49526139042268075,0.4693797691254158,-1,-1,0.0
12,7,0,54163,58021,43771,47083,0.48280503458603724,0.4817729544103727,-1,-1,1.0
12,8,-1,52430,57778,37119,45123,0.47573678861788615,0.4513387320347268,-1,-1,0.0
12,9,1,67874,57547,54941,44704,0.5411693416572982,0.5513673541070802,1,1,0.0
12,10,-1,51532,52197,35261,40205,0.49679453190525313,0.4672435268862799,-1,-1,0.0
12,11,-1,54402,48672,33531,34110,0.527795564351825,0.49572005144808623,-1,1,0.0
12,12,-1,54688,54363,32546,39817,0.5014901284719994,0.4497602365849951,-1,1,0.0
12,13,1,93702,27615,73342,26447,0.7723732040851653,0.7349707883634469,1,1,0.0
12,14,1,96053,23985,77020,21081,0.8001882737133241,0.78510922416693,1,1,0.0
13,1,-1,144562,185891,93974,127082,0.43746614495858716,0.4251139982628836,-1,-1,0.0
13,2,0,222217,90437,140520,48306,0.7107441452852035,0.7441771789901814,1,1,1.0
13,3,1,40640,8680,26738,8179,0.8240064882400648,0.7657587994386689,1,1,0.0
13,4,1,43917,11594,29858,8935,0.7911404946767308,0.7696749413553992,1,1,0.0
13,5,1,63661,30995,41154,19010,0.6725511325219743,0.6840303171331693,1,1,0.0
13,6,1,126024,43862,70164,30671,0.7418150995373368,0.6958298209946943,1,1,0.0
13,7,1,46154,12085,28945,9897,0.7924930029705181,0.7451984964728902,1,1,0.0
13,8,0,217568,64002,111247,44423,0.7726959548247327,0.7146335196248474,1,1,1.0
13,9,0,91803,42456,56617,30462,0.6837753893593725,0.6501797218617578,1,1,1.0
13,10,1,47872,17643,31193,14770,0.7307028924673739,0.6786545699802015,1,1,0.0
