state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,-1,24565,22876,19043,19899,0.517801058156447,0.489009295875918,-1,1,0.0
1,2,-1,17233,20406,14270,18255,0.4578495709237759,0.438739431206764,-1,-1,0.0
1,3,-1,20272,20859,15310,16072,0.49286426296467384,0.48785928239117965,-1,-1,0.0
1,4,-1,20700,25917,16610,20231,0.4440440182765944,0.45085638283434215,-1,-1,0.0
1,5,-1,15882,16872,12877,14543,0.48488734200403005,0.4696207148067104,-1,-1,0.0
2,1,0,16807,20357,16035,16622,0.452238725648477,0.49101264659950394,-1,-1,1.0
2,2,1,18791,19338,16508,11335,0.4928269820871253,0.5928958804726502,1,-1,0.0
2,3,-1,20002,23656,18085,19600,0.45815199963351505,0.47989916412365663,-1,-1,0.0
2,4,0,12969,17647,10021,12707,0.4236020381499869,0.44090989088349175,-1,-1,1.0
3,1,-1,11795,19667,10695,15556,0.37489670078189563,0.4074130509313931,-1,-1,0.0
3,3,-1,9905,19371,10539,15838,0.33833173930864874,0.39955264055806194,-1,-1,0.0
3,4,-1,13315,17647,12373,16972,0.4300432788579549,0.4216391208042256,-1,-1,0.0
3,5,-1,11097,20345,9136,17249,0.3529355638954265,0.3462573431874171,-1,-1,0.0
3,6,-1,8578,21916,7692,19960,0.2813012395881157,0.2781715608274266,-1,-1,0.0
3,7,1,16597,14350,13962,11530,0.5363040036190907,0.5477012396045818,1,1,0.0
3,8,-1,14308,21178,14359,15227,0.4032012624697064,0.4853308997498817,-1,-1,0.0
3,10,1,13646,3684,12409,3018,0.7874206578188113,0.8043689635055422,1,1,0.0
3,11,-1,12244,18424,11863,13510,0.39924351115168905,0.4675442399400938,-1,-1,0.0
3,12,1,22105,10613,18315,7673,0.6756219817837276,0.70474834539018,1,1,0.0
3,13,-1,12985,25527,15935,17988,0.3371676360614873,0.4697402941956784,-1,-1,0.0
3,14,1,21707,17702,13246,12556,0.5508132660052273,0.5133710565072475,1,1,0.0
3,15,-1,9203,15788,7495,12729,0.3682525709255332,0.37059928797468356,-1,-1,0.0
3,16,-1,8392,18505,10153,11322,0.3120050563259843,0.47278230500582075,-1,-1,0.0
4,1,-1,19806,21826,19140,20657,0.47573981552651806,0.4809407744302334,-1,-1,0.0
4,2,-1,20145,22296,16101,21793,0.4746589382908037,0.4248957618620362,-1,-1,0.0
5,1,1,15996,13099,12983,12080,0.5497851864581543,0.5180146031999362,1,1,0.0
5,2,-1,12207,15784,12097,13072,0.43610446214854776,0.4806309348802098,-1,-1,0.0
5,3,-1,13427,14376,10110,13849,0.48293349638528216,0.42197086689761676,-1,-1,0.0
6,1,-1,7972,22030,6817,19237,0.2657156189587361,0.26164888308896905,-1,-1,0.0
6,2,-1,7983,22692,6868,17743,0.2602444987775061,0.2790622079557921,-1,-1,0.0
11,98,-1,24395,24202,20681,22922,0.5019857192830833,0.4743022269109924,-1,1,0.0
12,1,-1,15329,26589,13271,24142,0.36569015697313806,0.35471627509154574,-1,-1,0.0
12,2,-1,14220,24865,14352,21448,0.3638224382755533,0.40089385474860334,-1,-1,0.0
12,3,1,21896,21694,21338,19303,0.5023170451938518,0.5250362933982924,1,1,0.0
12,4,-1,16926,18131,13766,17078,0.4828137033973244,0.44631046556866816,-1,-1,0.0
12,5,-1,17176,20951,15718,16951,0.4504944002937551,0.481128898956197,-1,-1,0.0
12,6,0,18770,21464,16286,15880,0.46652085300989216,0.506311011627184,1,-1,1.0
12,7,-1,7980,15931,6944,12664,0.3337376103048806,0.35414116687066505,-1,-1,0.0
12,8,-1,15395,18663,11678,13438,0.45202301955487695,0.46496257365822585,-1,-1,0.0
12,10,-1,12341,21822,12278,13765,0.3612387670871996,0.47145106170564066,-1,-1,0.0
12,11,1,15769,9049,17551,8400,0.6353856072205657,0.6763130515201726,1,1,0.0
12,12,1,17365,12058,16260,7379,0.5901845495020902,0.6878463555987986,1,1,0.0
13,1,-1,16302,29041,17722,17726,0.3595262774849481,0.4999435793274656,-1,-1,0.0
13,2,1,24110,19504,21330,10552,0.5528041454578805,0.6690295464525438,1,1,0.0
13,3,1,11670,10381,11298,8368,0.5292276994240624,0.5744940506457846,1,1,0.0
13,4,1,8861,7044,7860,5496,0.5571204023891858,0.5884995507637018,1,1,0.0
13,5,1,12658,11264,11754,8327,0.529136359836134,0.5853294158657437,1,1,0.0
13,6,-1,17436,29107,16180,22262,0.37462131792106224,0.4208938140575412,-1,-1,0.0
13,7,1,15454,8330,15065,6659,0.6497645475950219,0.6934726569692506,1,1,0.0
13,8,1,22850,13387,20213,9935,0.6305709633799708,0.6704590685949317,1,1,0.0
13,11,1,13047,9535,13200,7680,0.5777610486227969,0.632183908045977,1,1,0.0
13,13,0,5114,3886,5934,3081,0.5682222222222222,0.6582362728785358,1,1,1.0
13,15,1,13362,7996,13846,6698,0.6256203764397416,0.6739680685358256,1,1,0.0
13,16,1,12115,10761,12874,6012,0.529594334673894,0.6816689611352325,1,1,0.0
13,18,1,11826,12196,12434,8804,0.4922987261676796,0.5854600244844147,1,-1,0.0
13,20,-1,3907,4542,4843,4923,0.4624215883536513,0.4959041572803604,-1,-1,0.0
13,21,1,14107,10953,11575,9826,0.5629289704708699,0.5408625765151162,1,1,0.0
13,22,0,21284,9878,17886,8900,0.6830113599897311,0.6677368774733069,1,1,1.0
13,26,-1,18825,23314,14412,21634,0.446735802937896,0.3998224490928258,-1,-1,0.0
13,27,-1,17674,24634,18074,22505,0.41774605275598,0.4454027945489046,-1,-1,0.0
13,30,0,19818,19199,9950,16521,0.5079324397057693,0.37588304181934945,-1,1,1.0
13,31,0,10934,24938,7850,17720,0.30480597680642285,0.30700039108330074,-1,-1,1.0
13,32,-1,14323,28744,11544,24884,0.33257482527225024,0.3168990886131547,-1,-1,0.0
13,33,-1,18944,25299,15035,21144,0.4281807291548946,0.41557256972276735,-1,-1,0.0
13,34,-1,15895,27075,12564,22786,0.3699092390039562,0.3554172560113154,-1,-1,0.0
13,35,-1,16059,31429,15131,23075,0.33816964285714285,0.39603727163272784,-1,-1,0.0
13,36,0,15293,28325,10970,22523,0.3506121326058049,0.3275311259069059,-1,-1,1.0
13,38,-1,13867,29894,8832,21250,0.31688032723201026,0.29359750016621233,-1,-1,0.0
13,39,0,13424,28393,9776,23694,0.32101776789344044,0.29208246190618464,-1,-1,1.0
13,40,-1,15011,27652,12857,22324,0.3518505496566111,0.36545294335010375,-1,-1,0.0
13,41,1,21265,15508,11915,11324,0.5782775405868437,0.5127156934463617,1,1,0.0
13,42,1,15411,16623,13081,12633,0.4810825997377786,0.5087112079023101,1,-1,0.0
13,43,-1,11414,27186,7619,20726,0.295699481865285,0.2687952019756571,-1,-1,0.0
14,1,-1,12243,33330,4220,31800,0.26864590876176686,0.11715713492504164,-1,-1,0.0
14,2,-1,7117,23921,6582,24371,0.2292995682711515,0.21264497786967337,-1,-1,0.0
14,3,-1,7611,23753,3303,24468,0.24266675168983548,0.11893702063303446,-1,-1,0.0
14,4,-1,11101,26122,4853,28460,0.2982295892324638,0.14567886410710534,-1,-1,0.0
14,5,-1,17074,29689,15113,26352,0.3651177212753673,0.3644760641504884,-1,-1,0.0
14,6,-1,25665,56207,14656,38068,0.3134771350400625,0.27797587436461574,-1,-1,0.0
14,7,-1,15102,27879,8340,23239,0.3513645564319118,0.26409955983406697,-1,-1,0.0
14,8,-1,20232,28852,15706,22691,0.4121913454486187,0.40904237310206526,-1,-1,0.0
14,9,-1,9506,20058,10439,17410,0.321539710458666,0.37484290279722793,-1,-1,0.0
14,10,-1,14694,17823,12044,16474,0.45188670541562875,0.422329756644926,-1,-1,0.0
14,11,1,19185,24123,22762,16011,0.44298974785259077,0.5870580042813298,1,-1,0.0
14,12,-1,11340,19172,12416,17213,0.37165705296276874,0.4190489047892268,-1,-1,0.0
14,13,1,28296,23412,19887,14850,0.5472267347412393,0.5725019431729855,1,1,0.0
14,14,-1,8881,13638,6219,9153,0.39437808073182645,0.40456674473067916,-1,-1,0.0
14,15,-1,10766,18478,8118,11525,0.36814389276432774,0.413276994349132,-1,-1,0.0
14,16,1,16490,14154,12982,9129,0.5381151285732934,0.5871285785355705,1,1,0.0
14,17,-1,17420,18673,12597,14176,0.48264206355803063,0.47051133604751055,-1,-1,0.0
14,18,-1,20343,24630,13159,23789,0.4523380695083717,0.3561491826350547,-1,-1,0.0
