state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,-1,25777,45054,29381,61451,0.36392257627310076,0.32346529857319006,-1,-1,0.0
1,2,-1,20538,33809,22258,42161,0.37790494415515113,0.34551917912417146,-1,-1,0.0
1,3,-1,20281,40055,21858,48963,0.33613431450543624,0.30863726860676916,-1,-1,0.0
1,4,-1,19623,44477,22031,57966,0.3061310452418097,0.2753978274185282,-1,-1,0.0
1,5,-1,20352,28687,28248,34548,0.41501661942535534,0.44983756927192814,-1,-1,0.0
2,1,-1,16032,27040,27058,39269,0.3722139673105498,0.40794849759524776,-1,-1,0.0
2,2,-1,20422,26593,25086,34335,0.4343720089333192,0.4221739788963498,-1,-1,0.0
2,3,-1,16421,30216,24860,40730,0.3521024079593456,0.3790211922549169,-1,-1,0.0
2,4,-1,13457,22858,20851,34011,0.37056312818394604,0.38006270278152454,-1,-1,0.0
3,1,-1,26592,37878,27246,38359,0.4124709167054444,0.415303711607347,-1,-1,0.0
3,2,0,20450,36333,30703,41126,0.36014300054593806,0.4274457391861226,-1,-1,1.0
3,3,-1,21257,35887,21368,38626,0.37199006019879605,0.35616895022835615,-1,-1,0.0
3,4,-1,27706,37744,31022,43221,0.4233155080213904,0.41784410651509235,-1,-1,0.0
3,5,0,18846,46464,22691,46841,0.28856224161690397,0.3263389518495081,-1,-1,1.0
3,7,1,32130,18045,34710,27600,0.6403587443946188,0.5570534424650939,1,1,0.0
3,8,-1,26601,46642,31844,52051,0.36318829103122485,0.37956970022051373,-1,-1,0.0
3,9,-1,25211,34468,29398,42212,0.4224434055530421,0.410529255690546,-1,-1,0.0
3,13,-1,28346,50463,27450,61851,0.3596797320103034,0.30738737528135185,-1,-1,0.0
3,14,-1,26469,51920,26686,59746,0.33766217198841675,0.30875138837467603,-1,-1,0.0
3,15,-1,17963,33687,23764,33360,0.347783155856728,0.41600728240319307,-1,-1,0.0
3,16,-1,16570,35235,14051,37913,0.3198532960138983,0.2703987375875606,-1,-1,0.0
4,1,-1,25555,40566,36306,44758,0.38648840761633974,0.44786835093259647,-1,-1,0.0
4,2,-1,21312,36598,29880,47588,0.3680193403557244,0.38570764702845045,-1,-1,0.0
5,1,-1,19066,32459,23958,44952,0.3700339640950995,0.3476708750544188,-1,-1,0.0
5,2,0,20738,33542,25361,44870,0.38205600589535743,0.3611083424698495,-1,-1,1.0
5,3,3,28909,29366,35224,32953,0.4960789360789361,0.516655176965839,1,-1,-2.0
6,1,-1,10529,27419,11457,36278,0.2774586275956572,0.24001256939352678,-1,-1,0.0
6,2,-1,6753,27711,8479,41099,0.19594359331476324,0.17102343781515994,-1,-1,0.0
11,98,-1,29424,38909,35943,51536,0.43059722242547527,0.41087575303787194,-1,-1,0.0
12,1,0,24990,57522,25232,64592,0.3028650378126818,0.2809048806555041,-1,-1,1.0
12,2,-1,12775,53147,21185,67668,0.1937896301689876,0.23842751510922536,-1,-1,0.0
12,3,-1,39074,61484,44361,67445,0.38857176952604466,0.396767615333703,-1,-1,0.0
12,4,-1,22059,35948,35840,41734,0.38028169014084506,0.46201046742465257,-1,-1,0.0
12,5,-1,28644,50209,26662,69423,0.3632582146525814,0.27748347817037,-1,-1,0.0
12,6,-1,33132,58244,30954,66555,0.3625897390999825,0.31744762021967204,-1,-1,0.0
12,7,0,11083,29383,13441,44932,0.2738842485049177,0.23026056567248557,-1,-1,1.0
12,8,-1,39436,28273,34463,45744,0.5824336498840627,0.42967571408979266,-1,1,0.0
12,9,-1,13058,19751,20356,32916,0.3980005486299491,0.3821144315963358,-1,-1,0.0
12,10,-1,15727,28960,18578,50890,0.3519368048873274,0.26743248690044336,-1,-1,0.0
12,11,0,45877,14083,37813,22085,0.765126751167445,0.6312898594276938,1,1,1.0
12,12,1,54082,11034,44815,26368,0.8305485594938264,0.6295744770521051,1,1,0.0
13,1,-1,45699,82090,39765,87370,0.35761294008091465,0.3127777559287372,-1,-1,0.0
13,2,1,89062,37163,73757,40507,0.7055813032283621,0.6454963943149198,1,1,0.0
13,3,1,21713,5984,22621,9804,0.7839477199696718,0.6976407093292213,1,1,0.0
13,4,1,24734,6624,27008,8780,0.7887620383953058,0.7546663686151782,1,1,0.0
13,5,1,34488,26295,37200,33938,0.5673954888702433,0.5229272681267396,1,1,0.0
13,6,1,47407,30906,42894,41110,0.6053528788323778,0.5106185419741917,1,1,0.0
13,7,1,22551,9747,24048,14650,0.6982166078394947,0.6214274639516254,1,1,0.0
13,8,0,62091,30548,49479,38638,0.6702468722676195,0.561514804180805,1,1,1.0
13,9,1,45191,31131,43655,38708,0.5921097455517413,0.5300316889865595,1,1,0.0
13,10,1,24102,13428,25251,19444,0.6422062350119904,0.564962523772234,1,1,0.0
13,11,1,34584,12929,34265,14990,0.7278849998947656,0.6956654146787128,1,1,0.0
13,12,1,13135,2142,14994,2464,0.859789225633305,0.8588612670408982,1,1,0.0
13,13,1,12307,3067,13708,3960,0.8005073500715494,0.7758659723794431,1,1,0.0
13,14,-1,11809,10688,11920,12046,0.5249144330355159,0.4973712759742969,-1,1,0.0
13,15,1,24083,5312,28132,7732,0.8192889947269943,0.7844077626589337,1,1,0.0
13,16,1,24476,6918,27585,9329,0.7796394215455182,0.7472774557078615,1,1,0.0
13,17,0,22401,21251,22526,31553,0.513172363236507,0.41653876735886386,-1,1,1.0
13,18,1,25832,6076,25975,10777,0.8095775354143162,0.7067642577274706,1,1,0.0
13,19,1,36274,18810,39760,31008,0.6585215307530318,0.561835858014922,1,1,0.0
13,21,1,38111,29359,43793,35881,0.5648584556099007,0.5496523332580264,1,1,0.0
13,22,1,26372,8037,30469,10169,0.7664273881833241,0.7497662286529849,1,1,0.0
13,23,1,78582,29247,67650,35721,0.7287649890103776,0.6544388658327771,1,1,0.0
13,24,-1,54153,47439,49948,50745,0.5330439404677534,0.4960424259879038,-1,1,0.0
13,25,-1,28853,50080,26909,57539,0.3655378612240761,0.3186457938613111,-1,-1,0.0
13,26,-1,23232,43173,21621,55386,0.3498531737067992,0.28076668354824885,-1,-1,0.0
13,27,-1,28112,44557,30805,45764,0.38684996353328105,0.4023168645274197,-1,-1,0.0
13,28,1,63919,43342,57194,50108,0.5959202319575615,0.5330189558442526,1,1,0.0
13,31,-1,17237,40474,19018,45372,0.29867789502867736,0.29535642180462807,-1,-1,0.0
13,32,-1,21007,46232,23715,52506,0.3124228498341736,0.3111347266501358,-1,-1,0.0
13,33,-1,30265,40845,33068,48591,0.4256082126283223,0.4049523016446442,-1,-1,0.0
13,34,0,20792,52363,24800,61547,0.2842184402979974,0.287213221073112,-1,-1,1.0
13,35,-1,38581,62889,35008,70268,0.38022075490292695,0.33253543067745733,-1,-1,0.0
13,36,-1,20886,48783,22890,57865,0.2997890022822202,0.2834499411801127,-1,-1,0.0
13,37,-1,32618,46757,27763,59498,0.41093543307086616,0.3181604611452997,-1,-1,0.0
13,38,1,42803,41191,63997,33895,0.5095959235183466,0.6537510726106321,1,1,0.0
13,39,-1,20449,48623,23689,58165,0.2960533935603428,0.2894055269137733,-1,-1,0.0
13,40,-1,27751,60310,26382,66939,0.3151338276876256,0.2827016427170733,-1,-1,0.0
13,41,-1,16913,35739,13754,40449,0.32122236572209983,0.25374979244691254,-1,-1,0.0
13,42,1,28873,19362,28152,25256,0.5985902353063128,0.5271120431396046,1,1,0.0
14,1,0,4799,64781,7631,59287,0.0689709686691578,0.11403508771929824,-1,-1,1.0
14,2,-1,3223,37470,6355,37645,0.07920281129432581,0.1444318181818182,-1,-1,0.0
14,3,-1,2827,42661,4092,39171,0.06214825888146324,0.09458428680396644,-1,-1,0.0
14,4,-1,5977,34904,8365,40783,0.14620483843350213,0.17020021160576218,-1,-1,0.0
14,5,-1,6507,46997,7525,47033,0.12161707535885168,0.13792661021298436,-1,-1,0.0
14,6,-1,10344,51844,17457,66340,0.16633434103042388,0.20832488036564556,-1,-1,0.0
14,7,-1,9440,44411,9999,55990,0.17529850884848935,0.15152525420903484,-1,-1,0.0
14,8,-1,8802,44664,12816,63480,0.16462798788014812,0.16797735136835482,-1,-1,0.0
14,9,-1,14337,38350,18843,60316,0.2721164613661814,0.2380398943897725,-1,-1,0.0
14,10,-1,14272,28664,22503,35257,0.3324017141792435,0.38959487534626036,-1,-1,0.0
14,11,-1,13662,32091,25471,35461,0.2986033702708019,0.4180233703144489,-1,-1,0.0
14,13,0,18480,22850,14637,35737,0.4471328332930075,0.29056656211537696,-1,-1,1.0
14,14,0,26930,30240,36582,43335,0.47105125065593845,0.45774991553737004,-1,-1,1.0
14,15,-1,8763,19864,11854,27565,0.30610961679533305,0.300717927902788,-1,-1,0.0
14,17,-1,17695,19717,24321,27969,0.47297658505292417,0.46511761331038437,-1,-1,0.0
14,18,-1,12349,26067,18048,35743,0.3214546022490629,0.33552081203175255,-1,-1,0.0
14,19,0,21563,32833,33038,39465,0.3964078241047136,0.455677696095334,-1,-1,1.0
14,20,0,11182,16254,23456,23519,0.4075667006852311,0.4993294305481639,-1,-1,1.0
14,21,-1,4799,18094,7290,27335,0.20962739702092342,0.21054151624548736,-1,-1,0.0
14,22,-1,15268,20485,22784,26924,0.42704108746119207,0.45835680373380544,-1,-1,0.0
14,23,0,9664,22337,17008,31205,0.30199056279491265,0.35276792566320286,-1,-1,1.0
14,24,-1,6464,20097,11810,31443,0.24336433116223033,0.2730446443021293,-1,-1,0.0
14,25,-1,11890,17004,15641,27192,0.41150411850211116,0.36516237480447317,-1,-1,0.0
14,26,0,13516,22062,15307,38723,0.37989768958345044,0.2833055709790857,-1,-1,1.0
14,27,-1,9038,27757,10119,33267,0.24563119989128956,0.23323191813027244,-1,-1,0.0
14,30,-1,24392,22981,28723,31036,0.514892449285458,0.4806472665205241,-1,1,0.0
14,31,-1,12175,24911,23790,36314,0.3282909992989268,0.39581392253427394,-1,-1,0.0
14,32,-1,4680,28290,5055,31102,0.14194722474977253,0.13980695301048207,-1,-1,0.0
14,35,0,4242,23881,5755,28381,0.15083739288127157,0.1685903445043356,-1,-1,1.0
21,1,-1,12283,26559,13623,43661,0.3162298542814479,0.23781509671112352,-1,-1,0.0
21,2,-1,37518,71750,37482,113349,0.3433576161364718,0.24850329176362948,-1,-1,0.0
21,3,-1,51590,57692,42278,87563,0.47208140407386395,0.32561363513836156,-1,-1,0.0
21,4,1,30817,18184,30955,23947,0.6289055325401522,0.5638228115551346,1,1,0.0
21,5,1,18027,12643,20588,14730,0.5877730681447668,0.5829322158672632,1,1,0.0
21,6,-1,74817,67419,53463,116066,0.5260060744115413,0.3153619734676663,-1,1,0.0
21,7,-1,62469,86405,46253,133563,0.4196098714349047,0.25722405125239134,-1,-1,0.0
21,8,1,15321,12388,17799,13853,0.5529250424049947,0.5623341337040313,1,1,0.0
21,10,-1,35123,68137,30474,126383,0.34014139066434246,0.1942788654634476,-1,-1,0.0
21,11,-1,19600,44574,15246,83696,0.30541964035279084,0.1540902751106709,-1,-1,0.0
21,13,-1,10190,30197,13887,49717,0.25230891128333377,0.21833532482233822,-1,-1,0.0
21,14,-1,15572,33089,26680,48920,0.32000986416226546,0.3529100529100529,-1,-1,0.0
21,15,-1,21157,35395,23051,53123,0.37411585797142455,0.302609814372358,-1,-1,0.0
21,16,-1,21530,37170,34185,43098,0.3667802385008518,0.4423353130701448,-1,-1,0.0
21,17,0,17220,31874,26497,40226,0.3507556931600603,0.39711943407820394,-1,-1,1.0
21,18,-1,23569,44112,29034,52992,0.34823658042877614,0.3539609392143954,-1,-1,0.0
21,19,-1,24507,40456,42490,55605,0.3772455089820359,0.4331515367755747,-1,-1,0.0
21,20,1,29935,21875,36669,32569,0.5777842115421733,0.529608018718045,1,1,0.0
21,21,-1,39365,35191,44414,45588,0.5279923815655346,0.4934779227128286,-1,1,0.0
21,22,-1,27428,38714,40604,56525,0.4146835596141635,0.41804198540085863,-1,-1,0.0
21,23,1,38575,29896,45644,38670,0.5633771961852463,0.5413573072087672,1,1,0.0
21,24,-1,20612,26295,29954,35356,0.4394226874453706,0.45864339304853774,-1,-1,0.0
21,25,-1,24849,36644,33638,47080,0.4040947750150424,0.416734805124012,-1,-1,0.0
22,1,-1,34061,37503,44335,48203,0.4759515957744117,0.4791004776416175,-1,-1,0.0
22,2,1,44690,35964,43690,43073,0.554095271158281,0.503555663128292,1,1,0.0
22,3,1,42422,35229,44376,39446,0.5463162097075376,0.5294075541027415,1,1,0.0
22,4,1,42882,36655,48803,35007,0.5391453034436803,0.5823052141749194,1,1,0.0
22,5,-1,31693,43458,28573,46264,0.42172426181953665,0.3818031187781445,-1,-1,0.0
22,6,-1,31107,38347,37309,46094,0.44787917182595677,0.4473340287519634,-1,-1,0.0
22,7,-1,44132,48313,62279,94751,0.47738655416734277,0.3966057441253264,-1,-1,0.0
22,8,-1,35205,40963,41119,51864,0.46220197458250184,0.4422206209737264,-1,-1,0.0
22,9,-1,39597,43891,41973,51280,0.4742837293982369,0.4500981201677158,-1,-1,0.0
22,10,-1,24349,52286,33344,67143,0.31772688719253606,0.3318240170370297,-1,-1,0.0
22,11,-1,35870,42519,39998,47978,0.4575897128423631,0.45464672183322724,-1,-1,0.0
22,12,-1,31442,38936,35565,49921,0.4467589303475518,0.41603303464894836,-1,-1,0.0
22,13,-1,43119,52541,42895,69042,0.45075266569098893,0.38320662515522125,-1,-1,0.0
23,1,0,9119,27004,36516,76566,0.25244304182930544,0.32291611397039316,-1,-1,1.0
23,2,-1,19034,38182,24742,69680,0.33266918344519014,0.2620363898244053,-1,-1,0.0
23,3,0,13034,30704,27044,50375,0.29800173761946136,0.3493199343830326,-1,-1,1.0
23,4,-1,12223,31881,20631,49060,0.27714039542898605,0.29603535607180265,-1,-1,0.0
23,5,-1,7339,29653,13497,58682,0.1983942474048443,0.186993446847421,-1,-1,0.0
23,6,-1,31945,67796,29191,173705,0.3202795239670747,0.1438717372446968,-1,-1,0.0
23,7,-1,10081,35967,14291,60404,0.2189237317581654,0.19132472053015598,-1,-1,0.0
23,11,0,7468,25816,15222,41686,0.2243720706645836,0.26748436072256976,-1,-1,1.0
23,13,-1,12152,26190,12526,95747,0.31693704032131864,0.11568904528368107,-1,-1,0.0
24,1,-1,26511,45317,36065,58185,0.3690900484490728,0.3826525198938992,-1,-1,0.0
24,2,-1,26322,36608,34118,47331,0.41827427300174796,0.4188878930373608,-1,-1,0.0
24,3,-1,33253,50639,43426,73513,0.3963786773470653,0.37135600612285036,-1,-1,0.0
24,4,-1,31293,32236,42652,43984,0.49257819263643376,0.492312664481278,-1,-1,0.0
24,5,-1,23022,23638,29245,31046,0.493399057008144,0.4850641057537609,-1,-1,0.0
24,6,-1,24630,27688,29283,33064,0.4707748767154708,0.46967777118385806,-1,-1,0.0
24,7,-1,22314,45699,34709,61557,0.3280843368179613,0.36055305092140527,-1,-1,0.0
24,8,1,30167,23247,38439,33258,0.5647770247500655,0.536131218879451,1,1,0.0
24,9,-1,23947,47331,48442,54792,0.33596621678498273,0.4692446287075963,-1,-1,0.0
24,10,-1,14460,25571,17923,32617,0.3612200544577952,0.3546299960427384,-1,-1,0.0
24,11,1,29950,18300,35696,24272,0.6207253886010363,0.5952508004268944,1,1,0.0
24,12,-1,31724,41119,41291,58705,0.4355119915434565,0.41292651706068245,-1,-1,0.0
24,13,-1,19571,36444,27623,45307,0.34938855663661517,0.37876045523104346,-1,-1,0.0
24,14,1,53659,28446,62314,60251,0.6535411972474271,0.50841594256109,1,1,0.0
24,15,-1,23703,28519,30608,39155,0.4538891654858106,0.4387425999455299,-1,-1,0.0
24,16,1,40283,27116,51491,45559,0.5976794907936319,0.5305615662029881,1,1,0.0
