state,district,I,D,R,D1,R1,DP,DP1,P,PNOW,T
1,1,-1,109880,92980,64483,68229,0.5416543428965789,0.48588673217192113,-1,1,0.0
1,2,-1,63021,56825,45056,48180,0.525849840628807,0.4832468145351581,-1,1,0.0
1,3,1,84439,73078,55893,55501,0.5360627741767555,0.5017595202614145,1,1,0.0
1,4,-1,90942,90239,44626,61161,0.5019400489013749,0.42184767504513787,-1,1,0.0
1,5,1,62783,51049,39824,39652,0.5515408672429545,0.5010820876742664,1,1,0.0
1,98,-1,407868,365851,250013,271329,0.5271526225929569,0.47955660583647586,-1,1,0.0
2,1,-1,32018,55503,40103,57642,0.36583220027193475,0.4102818558494041,-1,-1,0.0
2,2,0,31334,57152,46900,55718,0.3541125149741202,0.4570348281977821,-1,-1,1.0
2,3,0,23934,46732,29771,51485,0.3386918744516458,0.3663852515506547,-1,-1,1.0
3,1,-1,54634,72750,45397,64886,0.42889216856120077,0.41164096007544226,-1,-1,0.0
3,2,-1,54428,76373,41935,68106,0.4161130266588176,0.3810852318681219,-1,-1,0.0
3,3,1,72839,60676,58600,54557,0.5455491892296745,0.5178645598593106,1,1,0.0
3,4,-1,60988,70542,53266,62874,0.4636812894396716,0.45863612881005683,-1,-1,0.0
3,5,-1,37593,120435,35323,104912,0.23788822234034476,0.25188433700574037,-1,-1,0.0
3,6,-1,35214,88834,27967,82434,0.28387398426415583,0.25332198077915963,-1,-1,0.0
3,7,1,89966,52701,83618,47533,0.6306013303707234,0.6375704340798012,1,1,0.0
3,8,1,71127,57217,62152,50711,0.5541903010658854,0.5506853441783401,1,1,0.0
3,9,-1,81523,74922,68258,70059,0.5210968711048611,0.4934895927470954,-1,1,0.0
3,10,-1,54093,78029,43093,78052,0.4094170539349995,0.3557142267530645,-1,-1,0.0
3,12,1,97588,27302,86618,25678,0.7813916246296742,0.7713364679062478,1,1,0.0
3,13,-1,48606,92651,39939,86389,0.3440962217801596,0.31615318852510926,-1,-1,0.0
3,14,-1,55241,65780,43876,63608,0.45645797010436207,0.40820959398608164,-1,-1,0.0
3,15,-1,53581,73358,45867,66054,0.42210037892215946,0.4098158522529284,-1,-1,0.0
